ल ंद न , इ ंग लै ंड	ల ండ న , ఇం గ లా ండ
आओ .	పద .
और तुमहारा काम खतम . वह अ ग ले ह वा ई ज हा ज से जर म नी जा रही है .	నీ పని అయి పోయింది . అ మె తరు వా తి విమా నం లో జర మ నీ కి వెళ తుంది .
ल गे गा कि वह तुमहारा साथ दे रही है , पर यकीन मान ो ,	ఆమె నీ వె పు ఉ ందని నువవు న మమ వచచు , కానీ ననను న మ ము ,
यह वी डि यो आज सु बह का है , पर स ें ट कॉ म ने इसे अभी भे जा है .	ఈ వీ డి యో ఇ వాళ పొ దదు న ది , కానీ సె ంట కో మ ఇ పపుడ ే పం పి ంచి ంది .
दे शान तर 2 5 4 7 .	రే ఖ ా ం శం 2 5 4 7 .
हाँ .	సరే .
कि ंग ए ड वर ड यू नि वर सि टी ए ग है म , इ ंग लै ंड	కి ంగ ఎ డ వర డ వి శ వ వి దయ ాల యం ఎ గం , ఇం గ లా ండ
- प ढ ा ई कै सी चल रही है ? - मु श कि ल है .	- క లా సు లు ఎలా జరుగు తుననా యి ? - కష ట ంగా .
थो र न	థా ర న
यार , मैंने ल ंद न में छ ह म ही ने प ढ ा ई की थी .	నేను నా సె మి సట ర వి దేశం లో , ల ండ న లో చే సా ను .
नहीं .	లేదు .
1 9 म ई 1 3 : 4 0 ल ंद न 2 0 म ई 0 9 : 5 6 ल ंद न	1 9 మే 1 3 : 4 0 ల ండ న 2 0 మే 0 9 : 5 6 ల ండ న
तुमने कहा कि यह की म ती है . कि तना की म ती है ?	అది వి లు వెన దని అ ననా వు . అది ఎంత వి లు వెన ది ?
अगर वो गल र ने वह ए का धि कार तो ड दिया , तो ?	ఒక వే ళ వ ో గ లే ర ఆ గు త తా ధి ప త యా నని ఛ ే ది సతే ?
कया बात है ?	ఏంటి విషయం ?
ठीक है . हो जे को ले जाओ . वह मा ह िर है .	సరే . జో సట ని తీసు కె ళళు . అతను సమ ర ధ ు డు .
यहाँ आ ने का शुकरिया , से न यो र ग री यर .	వచచి న ందుకు ధనయవాదాలు , సె న యో ర గర ీ ర .
हो जे आपके आद मि यों के साथ कुछ दिन बि ता ए गा ,	జో సట కొనని రోజు లు మీ భ దర త సి బబ ంది తో ఉ ండి ,
सच में , है रि य ट .	నిజంగా , హా రి య ట .
नहीं .	లేదు .
मै कस ? मै कस !	మా కస ? మా కస !
सि ं को पा मा स .	సి ం కో ప ాల మ స .
