Hindi	Telugu	Similarity_Score
इस सब की शु रु आ त कैसे हुई ?	ఇ ద ంతా అస లు ఎలా మొద లె ంది ?	0.6060
हमने वह कं प नी साथ मिल कर ख डी की थी .	ఈ సం సథ ని మే మి దద రం కలి సి ని ర మి ంచా ం .	0.5814
रॉ बी	రా బీ	0.2965
मुझे नौ करी मिल गई थी .	అవును , పని దొ రికి ంది .	0.4912
श ी ला	ష ీ లా	0.3459
माफ करना , यह तुम कया कर रही हो ?	ఒకక ని మి ష ం , ఏం చేసతుననా రు మీరు ?	0.5466
कया तुम अ क सर लोगों को तीन घ ं टे इं त जार कर वा ते हो ?	జ నా లని మూ డు గ ంట ల పా టు కా పు కా యి ంచడం మీకు అ ల వా టా ?	0.6624
वाह .	వా వ .	0.3262
मुझे माफ कर दो . मैं इस की भर पा ई करने के लिए तैयार हूँ . चलो , तुमहें डि नर पर लेकर चल ता हूँ .	మన ని ంచండి . మి మమ లని ఎ దు రు చూ సే లా చేసిన ందుకు పరతి ఫ ల ంగా , నేను మి మమ లని డి నన ర కి తీసు కె ళ తాను .	0.6556
नहीं , लेकिन वह सच में जे रे मी हैं . शायद .	కాదు , కానీ అతని పేరు జె రె మీ యే అను కుంటా .	0.5907
मैं अपनी जिंदगी खु ल कर जी ना चाहती थी .	నా జీవి తం నా కోసం జీవి ద దా మని వచ చేశా .	0.5241
तुम चल भी कैसे पा रहे हो ?	అస లు ఎలా న డ వ గ లు గు తుననా వు ?	0.5466
और मुझे ठ ं डा पसंद है .	నాకు చ లల గా ఉ ంటే ఇష టం .	0.6001
मि सट र व ॉर नर , आप बहुत अचछ े हैं .	మి సట ర వా ర న ర , చాలా చాలా థ యా ంక స .	0.6002
- हे भगवान . फर ॉ गी ! - यह एक बी नी बे बी है .	- ఓ రి దేవుడా . క పప బ ొ మమ ! - ఇది బీ నీ బ ే బీ .	0.6500
- ग री नी . - ग री नी .	- గర ీ నీ . - గర ీ నీ .	0.4479
या शायद , मतलब , ज म पी ?	లే కపో తే , టి ం గు రం గ డు ?	0.5317
- फै सला हो गया . - कया ?	- దొ రి కే సింది . - ఏంటి ?	0.5013
इस के क ूल हे पर !	దాని పి ర ర మీద !	0.5333
- ला ख ों डॉ ट स ? - ला ख ों डॉ ट स .	- ల కష చు కక లా ? - ల కష చు కక లు .	0.5738
{ \ an8 } फर ै ं क कार ल स न .	{ \ a n 8 } ఫ రా ంక కార ల స న .	0.7173
शुकरिया .	థ యా ంక యూ .	0.3172
मे ज से यह कॉ मि क बु क ह टा दो , पलीज .	ఈ కా మి క బు క ని ఇ కకడి నుండి తీ సె య .	0.6485
तुम खुश सी लग रही हो .	నువవు ఆ న ంద ంగా ఉననా వు .	0.4675
वाह .	వా వ .	0.3262
- ये बहुत पया रे हैं . - इन हें हमारे दोसत , टा य , बना ते हैं .	- ఇ వి చాలా బాగు ననా యి . - మా స నే హి తు డు టె యే వాటి ని చేసే ది .	0.6368
सच में ?	నిజంగా ?	0.3490
तुम अभी डॉ क टर नहीं ब नी ं ?	ఇంకా డా క టర కాల ే దా నువవు ?	0.5568
- गल ती मान ती हूँ ! - ठीक है .	- ప కష ి హాయ చె ప తోంది ! - సరే .	0.6071
अं कल फर ै ं कस ट ॉ य ज	అ ం కు ల ఫ రా ంక టా య స	0.5983
. . . और यह सं ख या अब बढ ती ही रहे गी .	. . . ఇక ఆ సం ఖ య పె రుగు త ూ నే ఉంటుంది .	0.6997
वह आगे बढ रहा है , वह सब हा सि ल कर रहा है जिस के वह ला य क है .	అతను స ఫ ల ం అవు తుననా డు , కష టా నికి పరతి ఫ లా నని అను భ వి సతుననా డు .	0.6224
इ रे क टर	ఎ రె క టర	0.5827
प ल श वि लड र ने स	ప ల ష వె ల డ ర నె స	0.6432
कभी मत भ ूल ना तुम कुछ भी बन सकती हो ,	మీరు ఏద ెనా చేయ వచచ ని , ఎవర ెనా కా వచచ ని	0.5478
और मुझे लगता है कुछ ग जब की चीज ें . . . तुम तैयार हो ?	ఇంకా కొనని గొ ప విష య ాలు జరుగు తా య ని . . . అంతా సి దధ మా ?	0.6793
मुझे लगता है कुछ ग जब की चीज ें होने वाली हैं .	ఇంకా కొనని గొ పప విష య ాలు జరుగు తా య ని అను కుంటా .	0.6084
ओ ह , ओ ह	ఒ హ , ఓహ	0.5710
ओ ह ओ ह , श ी ला	ఓహ ఓహ , ష ీ లా	0.5008
ओ ह ओ ह , श ी ला	ఓహ ఓహ , ష ీ లా	0.5008
ओ ह ओ ह , श ी ला	ఓహ ఓహ , ష ీ లా	0.5008
ओ ह ओ ह , श ी ला	ఓహ ఓహ , ష ీ లా	0.5008
लेकिन , मुझे है .	కానీ నాకు ఉంది .	0.5176
वाह .	వా వ .	0.3262
मि से ज ए च . टा य व ॉर नर .	మి సె స హె చ . టె వా ర న ర .	0.6491
कया तुम 1 1 ब जे सा इट को अप डे ट सकते हो ?	పద కొ ండు గ ంట లకు సె ట ని అ ప డే ట చేసతా వా ?	0.6541
हाँ , मैं अपनी क कष ा ओ ं के बी च में ला इ ब रे री जा सकता हूँ .	అలాగే , క లా సు ల మ ధయ ఓ సారి లె బర రీ కి వెళలి ఆ పని చే సత ాల ే .	0.6659
ई बे . हाँ .	ఈ బ ే . సరే .	0.5483
इस परिवार में नहीं - नहीं - नहीं नहीं चल ता .	ఈ కుటుం బ ంలో అలా ంటి వి జ రగ డానికి వీ ల లేదు .	0.4993
- हे . देखो कौन आया है . - हा य .	- హేయ , ఎవర ొ చచా రో చూడు . - హాయ .	0.6164
हमें इन हें च ू म ले ना चाहिए .	మనం వీ ళ ల కి ద ండ ాలు పెటట ాలి .	0.5704
ल क ज री रि य ल ए सट े ट	ల గ జ రీ రి య ల ఎ సట ే ట	0.6737
- तुमहें लगता है वह जी त जाएगा ? - हाँ .	- అతను గె లు సతా డు అ ంటా వా ? - గె లు సతా డు .	0.5953
और वह एक बच चे का बा प है .	అతనికి సం తా నం కూడా ఉంది .	0.4925
