Hindi	Telugu	Similarity_Score
मा घ रा !	మా గ రా !	0.3947
मैं उनकी त ला श में गई थी .	త నని వె తు కకు ంట ూ వెళళ ా ను .	0.5484
मुझे यह मि ला . हमें अ व श य जाना चाहिए .	- ఇది దొ రికి ంది . - మనం ఇక బయ లు దే ర ాలి .	0.5942
नहीं !	వదదు !	0.3902
जन म में खा मो श ी , दिल ट ू ट ने के प ल में खा मो श ी .	జ నన సమ య ము న ని శ బ ద ం , హ ృ దయ వే ద న సమ య ము న ని శ బ ద ం .	0.6705
जे र ला म रे ल का एक और बच चा . . .	జె ర లా మ రె ల య ొ కక మ రో బి డ డ . . .	0.6725
पर ज हाँ तक तुमहारी उ पस थ ि ति की बात है . . .	కానీ నువవు ఇకకడ ే ఉండే విష యా నికి వ సతే . . .	0.6207
तुम समझ ते हो न , कि यहाँ तुमहारा काम कि तना मह त व पू र ण है ?	ఇకకడ నీకు అ పప గి ంచిన పని ఎంత ముఖ య మెన ద ో నీకు తెలుసు కదా ?	0.6516
ओ ह , वाह .	ఓహ , వా వ .	0.5292
उनके चे ह रे , उनकी आ वा ज , जिस तरह से वे सा ँ स ले ते हैं , वह भी .	వారి ముఖ ాలు , వారి స వర ాలు , వారు ఊ పి రి తీసుకు నే వి ధా నం కూడా .	0.6379
तुमहें नि य म पता हैं .	ని య మ ాలు నీకు తెలుసు .	0.5018
ह नि वा .	హ నీ వా .	0.4074
मैंने पहले कया कहा था . . .	నే ని ంత క ముందు అ నన ద ంతా . . .	0.5108
मुझे पता है .	నాకు తెలుసు .	0.4495
मुझे लगता है हम सभी में से तुम समझ जाओ गी कि उसे कया चाहिए .	ఆమె కి ఇపపుడు ఏం అవ సర మో , అది అంద రిక ననా నీ కే తెలు స ను కుంటా ను .	0.6264
हाँ . लेकिन उसके बाद . . .	అవును . కానీ ఆ తర వాత . . .	0.6797
जे र ला म रे ल .	జె ర లా మ రె ల .	0.6181
को फ ु न .	కొ ఫ ూ న .	0.5663
हम लगा ता र आगे बढ ते हैं .	మనం ము ందుకు సా గు తుననా ం .	0.4940
दो और . . .	ఇ దద రు . . .	0.6548
और रा नी का कया ? कया तुमहें पता है वह कहाँ पर है ?	మరి మ హా రా ణ ి సం గ తే ంటి ? ఆ వి డ ఎ కక డు ందో నీకు తెలుసా ?	0.5803
और रा नी को कं जु आ ले जाना और उनहें सि ं हा स न पर आ सी न कर ा ओ .	యు వ రా ణ ి ని కం జు వా కి తీసు కె ళ లి , ప టట ా భి ష ే కం అ యయ ే లా చూడ ండి .	0.6770
मैंने उस की स हम ति नहीं दी है .	నేను ఇంకా దా నికి స మమ తి ంచ లేదు .	0.5623
नहीं .	రా దు .	0.3195
म हा रा नी ?	మ హా రా ణ ీ ?	0.3901
मुझे पर स पर वि रो ध ी बात ें मह सू स हो रही हैं .	నాకు పర స పర వి రు దధ మెన విష య ాలు తెలు సతుననా యి .	0.6376
बा बा .	బా బా .	0.3089
हि लो मत .	క ద ల వదదు .	0.4001
तुम कया कर रही हो ?	నువ వే ం చేసతుననా వు ?	0.4631
और तुम जो चि ल ला ए . . .	మరి అ రి చి న వయకతి . . .	0.5577
को फ ु न .	కొ ఫ ూ న .	0.5663
जे र ला म रे ल के बच च ों ,	జె ర లా మ రె ల పిలల లా రా ,	0.6187
लड के .	బా బ ూ .	0.3778
ह नि वा , को फ ु न ,	హ నీ వా , కొ ఫ ూ న ,	0.5968
यह सच नहीं है . ह नि वा , उनहें बता ओ कि यह सच नहीं है .	అది నిజ ం కాదు . హ నీ వా , అది నిజ ం కా దని అతనికి చెపపు .	0.5696
यह सच है , को फ ु न .	అదే నిజ ం , కొ ఫ ూ న .	0.5948
न व य ु व क .	కు ర రా డా .	0.4443
ठीक है .	సరే మరి .	0.3688
नहीं .	లేదు .	0.3291
ओ ह , हाँ .	అవును గా .	0.3533
मैं से ना को आगे बढ ा रहा हूँ . मैं तुमहें पीछे नहीं छोड सकता .	నేను సె నయా నని క ది లి సతుననాను . నినను ఒ ంట రి గా వది లే సి వెళళ లేను .	0.5833
आप उस पु ल के ऊ पर से ज ञ ा न ो द य स भा में जा सकते हैं .	ఆ వ ంత ె న గు ండా మీరు జ ఞ ా నో దయ ని వా సా నికి చే రు కో వచచు .	0.6755
नौ कर ों को , कयोंकि तुमहें उनकी ग ं ध पसंद नहीं थी .	త మ శ రీ ర వా స న న చచ లే దని పని వారి ని చం పా వ ని వి ననా ను .	0.5444
एक पिता अपने बच च ों की सु र कष ा के लिए यही करता है .	తన పిలల లని కా పా డు కో వ టా నికి ఒక త ండ రి చేసే ది అదే .	0.6208
जब तक तुमहारी फिर ौ ती का भ ु ग ता न नहीं हो जा ता ,	నినను వి డి పి ంచ డానికి అవ సర మెన డబబు లు అంద ే వర కూ ,	0.6056
एक बात स प ष ट कर द ूँ , वे पु रु ष का यर हो ते हैं .	స ప ష ట ంగా చెపప ాల ంటే , అలా ంటి వాళళు పి రికి ప ంద లు .	0.6443
मुझे लगता है , एक ल ं बे समय में पह ली बार . . .	నా ఉద దేశం లో , చాలా కాల ం తర వాత త ొ లి సారి గా . . .	0.6623
एक ही आदमी को यह करना चाहिए , एक - एक कर के .	ఒకక ొ కక ొ డి పని పడు త ూ , ఆ పని ని ఒ కకడ ే చేయ ాలి .	0.5320
कया ज ञ ा न ो द य स भा में एक म रह म लगा ने वाला है ?	ఆ జ ఞ ా నో దయ ని వా సం లో ఎవర ెనా వె ద యు లు ఉననా రా ?	0.6602
हाँ , म हा रा नी जी . मेरे साथ चार आदमी हैं .	అవును , మ హా రా ణ ి . నా కరి ంద న లు గు రు ఉననా రు .	0.6252
वह अ नि श चि त भ वि ष य का साम ना कर रही है . . .	తన ముందు ఒక అ గ మ య గో చ ర భ విష యత తు ఉంది . . .	0.7419
पह रे दार ों ने किस तरह के जू ते पह ने हैं ?	కా ప లా దా రు లు ఎలా ంటి బ ూ టలు ధ రి ంచి ఉననా రు ?	0.5775
वह उसे दूस रे क बी ले में ले जा सकते हैं .	ఆమె ని అతను వే రే తె గ వ దద కి తీసు కె ళళ గల డు .	0.6230
उनहें उनके ने ता के साम ने ले जा या गया .	ఆ వి డ ని వాళళ నా య కు డి వ దద కు తీసు కె ళళ ా రు .	0.5657
वह मेरी माँ है . तुमहें पता है , है न ?	తను నా తల లి . ఆ విషయం నీకు తెలుసు కదా ?	0.6035
तुमने य ु वा य ु व ति यों की जु बा न का ट दी	త గి న ంత త వర గా నినను మె పప ి ంచ లే క పోయా రని	0.6080
