Hindi	Telugu	Similarity_Score
ल ंद न , इ ंग लै ंड	ల ండ న , ఇం గ లా ండ	0.5170
आओ .	పద .	0.6010
और तुमहारा काम खतम . वह अ ग ले ह वा ई ज हा ज से जर म नी जा रही है .	నీ పని అయి పోయింది . అ మె తరు వా తి విమా నం లో జర మ నీ కి వెళ తుంది .	0.6126
ल गे गा कि वह तुमहारा साथ दे रही है , पर यकीन मान ो ,	ఆమె నీ వె పు ఉ ందని నువవు న మమ వచచు , కానీ ననను న మ ము ,	0.6224
यह वी डि यो आज सु बह का है , पर स ें ट कॉ म ने इसे अभी भे जा है .	ఈ వీ డి యో ఇ వాళ పొ దదు న ది , కానీ సె ంట కో మ ఇ పపుడ ే పం పి ంచి ంది .	0.6778
दे शान तर 2 5 4 7 .	రే ఖ ా ం శం 2 5 4 7 .	0.6984
हाँ .	సరే .	0.3574
कि ंग ए ड वर ड यू नि वर सि टी ए ग है म , इ ंग लै ंड	కి ంగ ఎ డ వర డ వి శ వ వి దయ ాల యం ఎ గం , ఇం గ లా ండ	0.7138
- प ढ ा ई कै सी चल रही है ? - मु श कि ल है .	- క లా సు లు ఎలా జరుగు తుననా యి ? - కష ట ంగా .	0.6777
थो र न	థా ర న	0.4211
यार , मैंने ल ंद न में छ ह म ही ने प ढ ा ई की थी .	నేను నా సె మి సట ర వి దేశం లో , ల ండ న లో చే సా ను .	0.6612
नहीं .	లేదు .	0.3291
1 9 म ई 1 3 : 4 0 ल ंद न 2 0 म ई 0 9 : 5 6 ल ंद न	1 9 మే 1 3 : 4 0 ల ండ న 2 0 మే 0 9 : 5 6 ల ండ న	0.8260
तुमने कहा कि यह की म ती है . कि तना की म ती है ?	అది వి లు వెన దని అ ననా వు . అది ఎంత వి లు వెన ది ?	0.5741
अगर वो गल र ने वह ए का धि कार तो ड दिया , तो ?	ఒక వే ళ వ ో గ లే ర ఆ గు త తా ధి ప త యా నని ఛ ే ది సతే ?	0.6103
कया बात है ?	ఏంటి విషయం ?	0.4612
ठीक है . हो जे को ले जाओ . वह मा ह िर है .	సరే . జో సట ని తీసు కె ళళు . అతను సమ ర ధ ు డు .	0.6385
यहाँ आ ने का शुकरिया , से न यो र ग री यर .	వచచి న ందుకు ధనయవాదాలు , సె న యో ర గర ీ ర .	0.6259
हो जे आपके आद मि यों के साथ कुछ दिन बि ता ए गा ,	జో సట కొనని రోజు లు మీ భ దర త సి బబ ంది తో ఉ ండి ,	0.6352
सच में , है रि य ट .	నిజంగా , హా రి య ట .	0.5991
नहीं .	లేదు .	0.3291
मै कस ? मै कस !	మా కస ? మా కస !	0.6079
सि ं को पा मा स .	సి ం కో ప ాల మ స .	0.4779
उसकी एक बे टी भी है ?	అతనికి కూ తు రు ఉ ందా ?	0.5587
का त िया जि ला कर ा कस , वे ने जु ए ला	కా టి యా జి ల లా క రా కస , వె నె జు లా	0.6114
रा ष टर प ति रे य स ने हम सब को ध ो खा दिया है !	పర ె సి డె ంట రే యే స మన ంద రికీ ద రో హ ం చే సా డు !	0.6473
लि वर पू ल सट री ट सट े शन	లి వర ప ూ ల సట రీ ట సట ే షన	0.6377
मै कस .	మా కస .	0.5891
ख ै र , यह थोडा पे ची दा है .	అంటే , అది సం కలి ష ట మెన ది .	0.6177
मुझे नहीं पता कि वह कहाँ हैं . मैं कई म ही नों से उन से नहीं मि ली .	అంటే , నాకు తను ఎకకడ ఉననా డ ో తె లీ దు . తన ను చూ సి కొనని నె లల య యి ంది .	0.6328
ए ना बे ल , वह व ै सा नहीं है , जैसा तुम उसे समझ ती हो .	అ నన బె ల లె , తన గురించి నువవు అను కు నే ది నిజ ం కాదు .	0.6672
एक मिन ट , व ै ले न टी ना .	ఒకక కష ణం , వాల ే ంట ె న .	0.6244
तुम अपने परिवार को सम ंदर कि ना रे घ ुम ा ने ले जाओ गे .	నీ కుటుం బా నని సె ల వు లకు స ము దర తీ రా నికి తీసు కె ళళు .	0.6264
