Hindi	Telugu	Similarity_Score
तुमने मुझे माफ किया और बात व हीं पर खतम हो चु की थी .	నువవు కషమి ంచా వు కూడా అన నీ మర చి పోయి సంతో ష ంగా ఉననా ం .	0.6034
मेरा ज मी र इस की इ जा ज त नहीं दे गा .	అది నాకు ఎ పపటి కీ బాగా అనిపి ంచ దు .	0.5622
- शुकरिया , शुकरिया . - पलीज .	- థా ంక యు , థా ంక యు . - ప లీ జ క మ .	0.4749
" मेरे साथ ऐसा कयों कर रहा है ? बात करते हैं . तुमहारा अपना . . . न वा ब ? "	" నా కి లా ఎందుకు చేసతుననా వు ? మనం మాటలాడు కు ందా ం . ఎ పపటి కీ నీ వా డె న న వా బ ? "	0.6503
ज रा जि प खो ल दो गे ?	ఈ జి ప తీ సి పె డ తా వా ?	0.4943
ता रा ? तर ु ण ने मेरा ल ह ं गा भे जा ?	తా ర . తరు ణ నా లె హ ంగా పం పి ంచా డా ?	0.6310
मैं होती , तो पैसे कभी भी नहीं ले ती .	నే నె తే ఆ డబ బ స లు తీసుకు నే దానని కాదు .	0.5580
वो एक गल ती थी !	అద ొ క పో ర బా టు !	0.4774
पलीज . मुझे श र मि ं दा मत करो . बस भ ूल जाओ उसे .	ప లీ జ . ననను ఎ ం బా రె స చె యయ దదు . అది మర చి పో దాం .	0.6850
वह लड की मु स ल मान है . त ला क शु दा है .	ఆ అ మా యి ము స లి మ . డి వ ో ర సీ తి స కు ంది .	0.6701
बि ना मेरे जाने , मेरी रि क ॉर डि ंग की .	నాకు తె లీ కుండా ననను రి కార డ చే సా వు .	0.5908
पता है . मैं देख रहा हूँ , ठीक है ? पता नहीं वह कैसे बाहर आया .	నాకు తెలుసు , నేను చూ స కుంటా ను . ఓ కే . అది ఎలా లీ క య యి ందో తె లీ దు .	0.6266
अरे , श ौ क से . ये आप ही के लिए है .	ఓ , తపప కుండా . తను ఉనన దే మీ కోసం .	0.6489
पैसे मैं लगा सकता हूँ .	నేను ఫ ెనా నస చే సతాను .	0.5113
कर न ! सब ठीक तो है ना ?	క రణ ! అంతా బా నే ఉంది గా ?	0.5615
शि का य त दर ज करे गी . इस के बाद , इसे था ने ले जा रहा हूँ .	తను కే స పె డు తు ంద ట , ఇకకడ ను ంచి సట ే ష ను కి తీ స కె ళ ు తుననాను .	0.6606
याद है , मैंने ही कहा था ना , उस फै जा को अपने घर पे मत रख ?	గుర తు ందా , నేను చెపపా ను గా ఆ ఫ ె జా ని మీ ఇ ంట లో పె టటు కో వ దద ని .	0.6507
ठीक है . जान बचा ली इस ने .	ధనయవాద లు , తను చాలా మంచిది .	0.5219
मुझे पयार हो गया और . . . माफ की जिए .	నేను పరే మ లో పడ డా ను . . . అ యా ం సా రీ .	0.6411
हमारे परिवार में कभी किसी और त ने नौ करी नहीं की . यह पह ली और त होगी .	మా ఫ ా మి లీ లో ఇ పపటి దా కా ఏ అమమా యి కూడా పని చె యయ లేదు . త నే మొద టి ద వు తుంది .	0.5818
प ंत जी , पलीज आप बाहर जा के से टि ंग देखो , यार .	ప ంత , మీరు బయట కి వెళళ ి సె టటి ంగ చె క చె యయ ండి .	0.6331
उसकी एक बे टी है .	అతని కో కూ తు రు ంది .	0.5333
म ंड ो टा कि ला और मह ल ज य पु र सम र स ंग दे व या नी	ము ండ ో టా ఫో ర ట ఎ ండ ప ాల ె స జె పూర సమ ర వె డ స దే వ యా ని	0.6854
आप सब का रो बार वाले सवा ल परे स कॉ न फर ें स में पूछ िए .	ఈ బి జి నె స కి సం బం ధి ంచిన పర శ న లు పర ె స కా న ఫ రె న సు లో అ డ గ ండి .	0.6488
हर जगह इसे उ छ ा ल ने की सोच रहे हैं . दिल ली टा इ मस में भी .	వాళళు అ నని చ ో ట లా వే ద దా మ ను కుంటుననా రు . ఢ ి ల లీ టె మ సు లో కూడా .	0.6680
कम रे में है अभी . मैंने आ ते व कत कम रा बाहर से बंद कर दिया था .	అతని ం కా రూ ంలో నే ఉననా డు . నేను గ ది ని బయట ను ంచి లా క చే సా ను .	0.6465
मै ड म , दे व या नी मै ड म आई हैं , पू जा से मिल ने .	మే డ మ , దే వ యా ని మే డ మ వచచా రు ప ూ జ ని కల వ డానికి .	0.6952
तुम यहाँ इसलिए नहीं रह रही कि तुमहें अपने ब ू ढ े माँ - बा प की फि कर है .	క మా న . నువ వి కకడ నీ వయ సు పె బ డు తు నన పే రె ంట స గురించి దయ తో ఉండ ట లేదు .	0.6646
- या यह किस ने किया , पर मैं पता . . . - तुमने हमारी रि क ॉर डि ंग की !	- లేదా లీ క చేసి ంద ె వర ో , కానీ కను కకు ంటా ను - - మన లని రి కార డ చే సా వు !	0.6525
तो फिर छोड दो .	అయితే వెళ ి పో .	0.3453
तुमहें पर भा त से बात कर के , इसे रो क ने को कह ना चाहिए .	నువవు పర భా త కి కాల చేసి దానని ఆ ప డానికి పర యత ని ంచ మని అ డ గ ాలి .	0.5999
तो , मेरी अभी क ुम ा र जी से बात हुई . मि से ज याद व के दू र के भा ई .	మరి , నే ని పపుడ ే కు మార గా రి తో మాటలా డా ను . మి సె స యా ద వ క జి న .	0.6988
तो , कया तुम पि छ ले जन म में यकीन करते हो ?	అయితే చెపపు , గ త జీవి తా నని న మ ము తా వా ?	0.6402
भा ड में जाएँ वो .	వాళ లని వది లె య .	0.4832
तुमहें सा व धा न रह ना होगा .	మీరు జా గర తత గా ఉండ ాలి .	0.5289
तुमहारे इस फै स ले की व ज ह से कि तने लोग भ ु ग त ेंगे , कुछ पता है ?	నీ ఈ ని రణ యం వ లల ఎంత మంది స ఫ ర అవు తా రో నీ కే మెనా అయి డి యా ఉ ందా ?	0.7083
नहीं . सी सी टी वी फ ु टे ज था . मुझे तो पता भी नहीं था कि वे लोग . . .	కాదు . అది సి . సి . టి . వి ఫ ు ట ే జ . నేను గర హి ంచ లే క పోయా ను అది ఉ ందని .	0.6682
तुमहें सा ला बच चा चाहिए ?	ఇ ద ంతా పిలల ల కో స మే నా ?	0.4735
मै ड म , आप हमारे परिवार की बे इ जज ती कर रही हैं .	మా మ , మీరు మా కుటుం బా నని అవ మా ని సతుననా రు .	0.5967
नहीं . शि बा नी मै ड म आई हैं . बैठ क में बैठ ी हैं .	లేదు . షి బా నీ మే డం వచచా రు . డ రా యి ంగ రూ ంలో ఉననా రు .	0.6149
बडी म जब ूत और त हैं वो , ता रा मै ड म .	ఆమె చాలా సట రా ంగ లే డీ , తా ర మా మ .	0.5891
- हाँ , इससे कौन कह सकता है कि कया करना है ? -	అవును , తన కి ఏం చె యయ ాలో చెపప ే ధ ె ర యం ఎవ రి కు ంది ?	0.5861
पहले पिता जी से बात कर ले ती हूँ .	మొద ట , మా నా ననా గా రి తో మాటలాడ తాను .	0.5157
सब की अपनी - अपनी की मत होती है .	పరతి ఒకక రికీ ఒ కో ధ ర ఉంటుంది .	0.4953
मैं तुमहारी मदद नहीं कर रही . मैं यहाँ आई ही नहीं .	నేను మీ కే ం సా యం చె యయ ట లేదు . నే నస లు ఇ కకడికి రా నే లేదు .	0.5259
हम उनहें कर न के बारे में बता सकते हैं .	మనం వాళల కి క రణ గురించి తెలి సే లా చె యయ చచు .	0.5686
मैं होती ना तो उसके दा ँ त तो ड दे ती .	నే నె తే నా వాడి ప ళళు రాల గొ టట ే దానని .	0.5615
उसे अ कल म ंद ी से काम ले ना चाहिए था . पा ँच ला ख से कुछ नहीं होता .	తను ఇంకా స మార టు గా చె యయ ల సింది . 5 ల కష లు అస స లు సరి పో వు దా నికి .	0.6720
मेरी चि ं ता मत करो .	నా గురించి వది లె .	0.4108
