Hindi	Telugu	Similarity_Score
1 6 अ पर ै ल , 2 0 1 8	ఏ పరి ల 1 6 , 2 0 1 8	0.8182
डॉ . डे मो न बी . जो न स , सी नि यर पा द री , बा इ ब ल वे बै प टि सट च र च	డా . డా మో న బి . జో నస , సీ ని య ర పా సట ర , బె బి ల వే బా ప టి సట చ రచ	0.6902
आ मी न !	ఆమె న !	0.3910
फ री मीक	ఫ రీ మీ క	0.3439
हाँ ! एक बार और .	అవును ! మ రో సారి .	0.4695
और 6 0 दिन बाद की ता री ख दी है . सत या ना श .	వి చా రణ తే దీ ఇం కో 6 0 రోజు లకు ఇ చచా రు . ఛ .	0.6541
यह बात मेरी समझ में नहीं आ रही .	అది నాకు అరథం కా ని విష య ంగా ఉంది .	0.5162
इस में कुछ सही नहीं हो रहा .	ఖ చచితంగా దీ నికి హ కకు లేదు .	0.5338
सु पर ी म को र ट के हाथ में है .	సు పర ీ మ కో ర టు చే తు లలో ఉంది .	0.6491
2 4 अ पर ै ल , 2 0 1 8	ఏ పరి ల 2 4 , 2 0 1 8	0.8182
हम इस ी समय जे ल के अंदर जा रहे हैं . सच क हूँ तो , सभी पा गल हो रहे हैं .	మేము ఇపపుడు జె లు లో ప లకు వెళ ు తుననా ము . నిజంగా , అంద రూ వె ర రె త తి ఉననా రు .	0.6438
और फिर ला ख ों लोगों की भी ड द वा रा सवा ग त होना , बहुत ही भा व ु क प ल था .	ఆ తరువాత కొనని వే ల మంది జ నం ము ందుకు రా వ టం చాలా అ మి తా న ంద ంగా ఉంది .	0.6401
वह सब मेरे लिए स प ने जैसा था .	అద ంతా నాకు కల లా అనిపి ంచి ంది .	0.5312
कह सकते हैं कि यह बहुत ब डा बद ला व है , एक छो टी सी को ठ री से निकल कर	నిజ ా నికి ది సా ం స క ృ తి క ఘ ా తం లా అనిపి ంచి ంది , ఒక చినన జె లు గ ది ను ంచి	0.6185
उन नी स साल की उ मर से , जब इस मा म ले में फ ँ सा था ,	నేను ఈ కే సు లో 1 9 ఏ ళళ పపుడు ఇ రు కకు నన దగగర ను ంచి	0.6599
मतलब , मेरे सोच ने का तरी का अ लग था ,	అంటే , నా ఆలో చ నా వి ధా నం భి నన మెన ది ,	0.5870
मेरा दि मा ग हमेशा इ ध र - उ ध र भ ट क जा ता ,	నా ఆలో చ న లు ఎపపుడూ అ సథి ర ంగా ఉంటా యి ,	0.5740
उस ब ू ढ ी और त ने यही कहा जब वह चि ल ला ई	ఆ ము స లా వి డ అ రి చి న పపుడు చెపపి ంది అదే	0.6158
1 8 जू न , 2 0 1 8	జ ూ న 1 8 , 2 0 1 8	0.8335
मीक का ग िर फ ता री अ फ सर आ ंत रि क जा ँच का नि शा ना	మీ క అ రె సట చేసిన అ ధి కా రి సమ గర పరి శ ో ధన ల కష యం	0.5909
जि न हें इस ी तरह के भर ष ट पुलिस वा लों ने ग िर फ ता र किया था ,	మా జీ ము ద దా యి లు ఎవ రి నె తే అ వి నీ తి పోలీ సు లు అ రె సట చేశా రో ,	0.6505
मैं उसके साम ने सू ट पह न कर नहीं जा ऊँ गा .	నేను ఆమె ము ందుకు సూ ట వే సు కొ ని వెళళ ను .	0.6084
