Hindi	Telugu	Similarity_Score
व हीं 1 5 वा ं ए यर फो र स उन पर इट ली के बे स ों से हम ला कर रहा था .	ఇ ట లీ లో ని సథ ా వర ాల నుండి 1 5 వ ఎ యి ర ఫో ర స దా డు లు పరా రం భి ంచి ంది .	0.6955
ब ब ल ब लू , कै प व न के लिए . आपके आ देश पर , सर .	క యా ప వ న కి బ బు ల బ లూ స ందే శం . మీ ఆ దేశం , సర .	0.7279
डॉ न लड ए ल . मिल र की कि ता ब पर आ धा रि त	డ ొ నా ల డ ఎ ల మి లల ర రా సిన న వల ఆ ధా ర ంగా	0.6019
धनयवाद , सर .	థా ంక యూ , సర .	0.4677
नहीं , सर .	లేదు , సర .	0.4945
तुम मि शन में अस फ ल नहीं हुए , ए ले कस . इसलिए अब खुद को थ क ने मत दो .	నినను ప కక న పెటట ే య లేదు , అ లె కస . కాబటటి ఆ విషయం గురించి బె ంగ పడ కు .	0.6965
ऑ परे शन स रू म	ఆ పరే ష నస రూ మ	0.5956
जब भी मुझे मौ का मि ला , मैंने सा ंड रा से सं पर क करने की कोशिश की . . .	నాకు వి రా మ ం దొ రికి న పపుడ ల లా శా ండ రా తో మాటలాడ టా నికి పర యత ని ంచా ను . . .	0.6386
पै रि स , फ रा ं स	పా రి స , ఫ రా నస	0.5727
मैंने पूरी इ मा रत का मु आ य ना किया .	నేను మొ తత ం భ వ నా నని త ని ఖ ీ చేశా ను .	0.6007
कर ॉ सब ी ?	క రో స బీ ?	0.3863
6 जू न , 1 9 4 4 डी - डे	జ ూ న 6 , 1 9 4 4 డి - డే	0.7847
रो जी .	రో సీ .	0.3419
धनयवाद , कर न ल .	థా ంక యూ , కల న ల .	0.5565
च ूँ कि ज मी न न म हो गई है , खा ना प का ने के लिए ल क डी का इं त जा म करने का यही मौ का है .	ఇపపుడు ఈ నే ల కా సత వ దు లు అయి ంది , వ ంట చేయ డానికి కొ ద ది గా వ ంట చె రు కు దొ రు కు తోంది .	0.6928
कया हो रहा है ?	ఏం జరుగు తోంది ?	0.4928
कर न ल डे वि स .	కల న ల డే వి స .	0.6404
हम यह स थ ि ति बद ल नहीं सकते , कर न ल .	ఈ పరి సథి తి ని మనం మా రచ లే ము , కల న ల .	0.6384
अब भी समय है ! कम ब खत , मेरी पै ंट कहाँ हैं ? पै ंट .	ఇంకా టె మ ఉంది ! నా ప యా ంట ఎకకడ , డా మి ట ? నా ప యా ంట .	0.6287
वि सट ु ला न दी ?	వి సట ు లా న దా ?	0.5208
वि सट ु ला , वि सट ु ला . . .	వి సట ు లా , వి సట ు లా . . .	0.5790
ऐसे .	ఇలా .	0.5722
बैठ जा इ ए .	కూ రచ ో ండి .	0.4179
ट ूल ॉ न .	ట ూ లా న .	0.5298
मार गो	మా రగ ో	0.2688
ठीक है , ले फ टि न ें ट मे क न .	వి ననా ం , లె ఫ టె నె ంట మా క న .	0.6557
ह द है .	డా మి ట .	0.4308
मैं द बा रहा हूँ !	నేను తో సతుననాను !	0.4446
हो गया !	అయి ంది !	0.3126
ट ॉ पर I I I	టా పర త రీ	0.3467
अब यहाँ से नीचे ले जाओ .	ఇక ఇకకడ బా ం బు లు వ ద ల ండి .	0.4661
नहीं !	లేదు !	0.3291
वे य हीं ठीक हैं .	ఇకకడ సరి పో తుంది .	0.4621
से क ंड ले फ टि न ें ट ए ले ग ज ें डर जे फर स न .	రె ండ ో లె ఫ టె నె ంట అ లె గ జా ండ ర జె ఫ ర స న .	0.6799
नहीं , नहीं , नहीं .	లేదు , లేదు , లేదు .	0.3606
वह कौन है ?	అతను ఎవరు ?	0.3643
इससे हमारे जर मन मे ज बा न को शक हो जाएगा , है न ?	మన జర మన శ తరు వు ల కి అది మంచి గా అనిపి ంచ దు , కదా ?	0.6539
से क ंड ले फ टि न ें ट , 0 8 2 1 9 1 6 .	సె క ండ లె ఫ టె నె ంట , 0 8 2 1 9 1 6 .	0.7977
मुझे अब भी याद है कि मैं डे टर ॉ इट में पै रा डा इस व ै ली गया था .	డె ట రా యి ట లో ప యా ర డె జ వయ ాల ీ ని స ంద ర శి ంచడం నాకు ఇంకా గుర తుంది .	0.6682
ए ले ग ज ें डर जे फर स न , से क ंड ले फ टि न ें ट , 0 8 1 9 4 6 1 .	అ లె గ జా ండ ర జె ఫ ర స న , సె క ండ లె ఫ టె నె ంట , 0 8 1 9 4 6 1 .	0.7920
हाँ . वह व ॉ ट स है . व ॉ ट स .	అవును . అది వా ట స . వా ట స .	0.5933
मुझे पता है	మా దేశం లో ని	0.4759
तुम लोग कौन सी यू नि ट से हो ?	మీరు ఏ యూ ని ట లో పని చేశా రు ?	0.6090
ह द है , मर फ .	డా మి ట , మర ఫ .	0.6044
धनयवाद .	థా ంక యూ .	0.2929
वाह .	వా వ .	0.3262
आप मुझे ए ले कस बु ला सकते हैं .	మీరు ననను అ లె కస అని పి ల వచచు .	0.6012
सा ंड रा .	శా ండ రా .	0.3701
सा ंड रा ?	శా ండ రా ?	0.3701
सा ंड रा .	శా ండ రా .	0.3701
. . . रे ड आ र मी के रू सी मो र चे के ने त ृ त व में .	. . . రె డ ఆ ర మీ కి చె ంది న ర ష యన ద ళ ం నా య క త వ ంలో .	0.7294
मार च , मार च !	మా రచ , మా రచ !	0.4163
अब , हमारे पास कब जा करने के लिए पर या प त सै निक त भी हों गे जब हम उनके नि ग रा नी के	ఇపపుడు , శ తరు వు లని ఎ దు ర కో వ డానికి త గి న మా న వ వ న రు లు మన కి ఉననా యి , కానీ , ముఖ య ంగా ,	0.6771
इससे पहले कि रू सी हमें आ जा द कर वा एँ , जर मन हमें जब र द स ती यहाँ से ले जाएँ गे .	ర ష యన లు వచచి మన లని వి డి పి ంచే లో గా జర మన లు మన లని ఇ కకడి నుండి బయట కి తర లి సతా రు .	0.6705
- जयादा गो लिया ँ मत ले ना . - हाँ , नहीं ल ूँगा . नहीं ल ूँगा , डॉ क . नहीं ल ूँगा .	- ఎకకువ మా తర లు వే సు కో వదదు . - అలాగే , నేను ని దర పో తాను . ని దర పో తాను , డా క టర .	0.6434
चलो भी . तुम वह सुन सकते हो . वह आ वा ज , टि क , टि क , टि क , टि क , टि क . . .	వి న ండి . నీ కూ వి ని పి సతోంది కదా . టి క , టి క , టి క , టి క , టి క శ బ ద ం . . .	0.6444
हमें ल बे क - ए ल वा ं के एक ट रे न सट े शन से , कुछ ख बर ें मि ली हैं .	లె బె క హె ల వా న రె ల వే సట ే షన నుండి మేము ఒక వా ర త అ ందుకు ననా ం .	0.7089
ले फ टि न ें ट कर न ल बै ने ट को वापस 3 9 5 व ें का भा र स ौ ं पा गया है ,	లె ఫ టె నె ంట కల న ల బె నన ె ట ని తిరిగి 3 9 5 వ బ ృ ందా నికి పం పి ంచా రు ,	0.7106
मैं हमेशा हमारे साथ बि ता ए समय को स ने ह पू र व क याद कर ूँगी .	మనం కలి సి గ డి పి న కష ణ ాలని నేను ఎపపుడూ గుర తు ంచు కుంటా ను .	0.6548
- हम यह काम पू रा करेंगे या नहीं ? - सर , करेंगे , सर .	- మనం ఈ ల కష యా నని పూర తి చేసతా మా ? - సర , చేసతా ం , సర .	0.6682
मि शन पर जाने की कुछ अ फ वा हें सुना ई दे रही हैं .	యూ ర ప లో మి షన లు చే పడ తా మని మాట లు వి ని పి సతుననా యి .	0.6278
और 9 9 वा ं पर सू ट सक वा डर न उस कोशिश का हि स सा था .	ఆ దా డు లలో 9 9 వ పర సూ ట స క వా డ ర న కూడా ప ాల గొ ంట ో ంది .	0.6842
तीन जू न , 1 9 4 4 को सु बह 5 : 5 6 से लेकर 5 : 5 7 तक .	1 9 4 4 జ ూ న మూ డ ో తే దీ న , 5 : 5 6 నుండి 5 : 5 7 వర కూ .	0.8385
वे सट बर ु क , तुम अभी उसे जो र से ला त मार नी होगी .	వె సట బ రూ క , నువవు ఇపపుడు దానని గ టటి గా కొ టట ాలి .	0.6724
कुल मि शन के आ धा र पर ही , मुझे ऐसे सै निक दि ख रहे हैं जि न हें कै प ट न , मे जर बन जाना चाहिए था .	మి షన లని లె క కి సతే , ఇ పపటి కే కె ప టె న లు కా గల సమ రథ ు లు కూడా నాకు కనిపి సతుననా రు . మే జర లు అ యయ ే వారు .	0.6954
ए ले ग ज ें डर जे फर स न , से क ंड ले फ टि न ें ट , 0 8 1 9 4 6 1 .	అ లె గ జా ండ ర జె ఫ ర స న , సె క ండ లె ఫ టె నె ంట 0 8 1 9 4 6 1 .	0.7783
- तुम कहाँ से हो ? - तुम कहाँ से आ रहे हो ?	- మీరు ఎ కకడి వారు ? - ఎ కకడి ను ంచి వచచా రు ?	0.6069
मेरा मतलब , अगर यह पहले जैसा नहीं रहा तो ?	నా ఉద దేశం , అది ఇది వర క టి లా ఉండ దు అను కుంటా ?	0.5658
और मुझे कुछ जयादा ही से क ंड ले फ टि न ें ट दि ख रहे हैं . फर सट ले फ टि न ें ट दि ख रहे हैं .	ఇంకా నాకు చాలా మంది సె క ండ లె ఫ టె నె ంట లు కనిపి సతుననా రు . మొద టి లె ఫ టె నె ంట లు కూడా .	0.6603
यहाँ काफी मह त व पू र ण गे म चल रहा है , बक .	ఇకకడ చాలా పెదద ఆట జరుగు తు నన టలు ంది , బ క .	0.6651
हाँ , और हमने आ धा स फर ट रे न से किया था .	అవును , అందు లో స గం ద ూ రం రె లు లో వెళల ాలి .	0.6186
मैं इसे ल ॉ ग में सट ीक नि शा ना लि ख ूँगा .	నే రు గా దా డి అని లా గ పు సత క ంలో రా సతా .	0.6151
आप बस जि ं दा रह ने की कोशिश करते हैं ,	మె లకు వ గా ఉండ డానికి పర యత ని సత ూ ఉండ ాలి ,	0.5957
इस कम रे पर न जर घ ुम ा ओ , ल ॉर ें स . तुमहें वह दि ख रहा है जो मुझे दि ख रहा है ?	ఈ గ ది ని ఒక సారి పరి కి ంచి చూడు , లా రె నస . నాకు కనిపి ంచి ందే నీ కూ కనిపి స తో ందా ?	0.6368
उसे का ट ने से कोई कष ति नहीं पहु ँ चे गी .	ఇలా క ట చేయ డం వ లల ఎలా ంటి న ష టం ఉండ దు .	0.6402
लगता है तुमहारी हा ल त काफी बु री है .	నీకు గా య ాలు బాగా అయ యా యి అను కుంటా .	0.5644
ड ु ला ग ल ु फ ट य ु द ध - बंद ी ट रा ं जि ट कै ं प	డ ూ లా గ లు ఫ త యు దధ ఖ ె దీ ల ర వా ణ ా శి బి రం	0.7356
