Hindi	Telugu	Similarity_Score
और चा बि या ँ ?	మరి తా ళ ాలు ?	0.4290
किसी ने हमा रा पी छ ा करने की या हमें रो क ने की कोशिश की ,	ఎవర ెనా మమ మ లని అను సరి ంచి నా , మమ మ లని ఆ ప ాలని పర యత ని ంచి నా ,	0.5195
उनहोंने रा सता पहले ही सो चा हुआ था .	ఇది ముందు గా నే ప లా న చేసు కు నన మా రగ ం .	0.5642
सट ु अ र ट !	సట ు వర ట !	0.5272
बाहर जाओ .	బయట కి రా .	0.3661
तुम इस में मत पड ो . यही हो रहा है . हम यही कर रहे हैं .	నువవు ప టటి ంచుకో కు . జ రి గే ది ఇ దే . మేము చే సతు నన ది ఇ దే .	0.6138
और जि से भे ज नी है , भे ज दो . और तुमहारा काम पू रा हो जाएगा .	ఎవ రికి కా వాల ో వాళల కి అది పం పి ంచు . దా ంతో పని అయి పో తుంది .	0.6113
नहीं , यह सच नहीं है .	లేదు , అది నిజ ం కాదు .	0.4393
ए ड गर .	ఎ డ గర .	0.6291
कार रो को .	కా రు ఆ పు .	0.5078
{ \ an8 } सै म ने ल स न	{ \ a n 8 } సా మ నె ల స న	0.7174
मार शा स मि थ - ने ल स न .	మార ష ా స మి త - నె ల స న .	0.6501
नहीं चल सकते .	మనం వెళల లే ము .	0.4359
यह कि तना होता . . .	ఎంత ద ూ రం అంటే . . .	0.6363
हाँ ? अचछी बच ची .	సరేనా ? గు డ గర ల .	0.5408
अब सब कुछ का ब ू में है , हाँ ?	అంతా అ దు పు లో నే ఉ ందా , చెపపు ?	0.5863
फी लि कस .	ఫ ె లి కస .	0.3944
के ए 2 9 .	కె ఎ 2 9 .	0.7815
तुम एक भर ष ट आदमी हो . और इस ी लिए मैंने तुमहें यहाँ बु ला या है .	నువవు అ వి నీ తి ప రు డి వి . నీ కే ఎందుకు ఫోన చేశా ను అనుకుంటుననా వు ?	0.6102
काम हो गया .	అయి పోయింది .	0.3248
हमें कैसे पता होगा तुम कौन से रा स ते पर हो ?	ఏ రో డ డు ని బ లా క చేయ ాలో మాకు ఎలా తెలు సతుంది ?	0.6114
मैं वही देख रहा हूँ .	నేను అదే చేసతుననా ను .	0.4792
पुलिस .	పోలీ స .	0.3965
पुलिस .	పోలీ స .	0.3965
- कहाँ ? - वहाँ देखो .	- ఎకకడ ? - అకకడ చూడు .	0.4916
हो सकता है हमें भी लड ना पडे .	మన కి మర ొ క అవ కా శం ఉండ కపో వచచు .	0.5722
ह द है .	హ మమ యయ .	0.4312
ठीक है . शुकरिया .	వి ననా ము . థా ంక యూ .	0.5154
के ए 2 9 . . .	కె ఎ 2 9 . . .	0.8888
ए ड गर .	ఎ డ గర .	0.6291
अब तुम दो मौ त ों के जि म मे दार हो .	మీరు ఇ పపటి కి ఇ దద రి ని చం పి ంచా రు .	0.6101
नहीं , नहीं .	లేదు , లేదు .	0.3462
लो इसे !	తీసు కో !	0.4494
ओ य !	ఓ య !	0.6376
मुझे दो . वह मुझे दो .	ఇ టు ఇవ వు . నాకు ఇవ వు .	0.5064
- यही समय है . - चलो , करते हैं .	- ఇ దే సమయం . - మనం దా డి చే దదాం .	0.6402
कया हो रहा है ?	ఏం జరుగు తోంది ?	0.4928
तुम यह कया खेल खेल रहे हो ?	మీరు ఎవ రి తో ఆట లా డు తుననా రు ?	0.5255
मैं जान ता हूँ यह किस ने किया .	ఇది ఎవరు చేశా రో నాకు తెలుసు .	0.5040
वह पे न . कहाँ है वह पे न ?	ఆ పె నను . అది ఎకకడ ఉంది ?	0.5810
आगे प ढ ो .	కా ని వ వు .	0.5030
यह तुम कया कह रहे हो ?	నువవు జో క చేసతుననా వు .	0.4853
- और ग ृ ह म ंत रा ल य का फै सला यही है ! - वे मा सू म लोगों की जान ें ले रहे हैं !	- ఇంకా ఇది హ ో మ శా ఖ ని రణ యం ! - వాళలు అ మా య కు ల పరా ణ ాలని బ లి తీసు కుంటుననా రు !	0.7260
पलीज . नहीं . इन होंने तुमहारी मदद की थी .	ప లీ జ . ఇలా చూడు . అతను మీకు సా యం చేశా డు .	0.6155
किस की मौ त आई है ? तुमहारी ?	ఎవరు చా వ బో తుననా రు ? నువ వా ?	0.5765
- ये वही हैं . - ठीक है .	- అది వాళ లే . - వి ననా ము .	0.6357
. . . कि एक ब रि टि श या तरी विमान ,	. . . అది ఒక బ రి టీ ష ప ౌ ర విమా నం ,	0.6003
दो टा र गे ट वाह न से बाहर आ रहे हैं .	ఇ దద రు టా రగ ె టలు వా హ నం ది గు తుననా రు .	0.6153
यह वह नहीं है . यह य ै न स न नहीं है .	అది అతను కాదు . అతను జా న సె న కాదు .	0.5291
पलीज !	ప లీ జ !	0.3045
मुझे स श स तर ब ल चाहिए , वि शे ष ब ल चाहिए . इस समय हमा रा पर मु ख ल कष य यही है .	నాకు సా యు ధ బ ల గ ాలు , స పె ష ల ఫో ర సె స కావాలి . ఇ దే పర సతు తం మన పర ధా న ల కష యం .	0.7329
- कया ? - हमा रा रा सता बंद कर दिया है . हमें जान ब ू झ कर रो क रहे हो .	- ఏంటి ? - రో డ డు బ లా క అయి ంది . మమ మ లని కా వాల ని ఆ ల స యం చేసతుననా రు .	0.6844
हमें किसी एक को चु न ना ही होगा . किसी एक को चु न ो . काम पू रा करो .	మనం ఎవ రి నో ఒక రి ని ఎ ంచుకో వాలి . ఒక ళ లని ఎ ంచుకో . పని పూర తి చే యి .	0.6063
क य . . . पर भा व डा ल ने के लिए . पता नहीं . और कया व ज ह हो सकती है ?	ఎందుకంటే . . . పర తీ కా రం కోసం . నాకు తెలియదు . అందు కే అయి ఉండ చచు .	0.6803
- शुकरिया . हम यह बात जानते हैं . - और पर धा न म ंत री कार या ल य भी .	- థా ంక యూ . ఆ సం గ తి మాకు తెలుసు . - అలాగే పర ధా ని కార య ాల యం కూడా .	0.7010
- और " मु सी ब त " का मतलब . . . - वह विमान हा इ जै क कर लिया गया है .	- నువవు " పర మా ద ం " లో ఉంది అంటే . . . - ఆ విమా నం హె జా క అయి ంది .	0.7323
{ \ an8 } - टा र गे ट वाह न . दो मिन ट में आ रहे हैं . - ठीक है .	{ \ a n 8 } - టా రగ ె ట వా హ నా లు . రెండు ని మి ష ాల ద ూ రం . - వి ననా ము .	0.7308
जैसा कि मैंने कहा , अभी इस की पु ष टि होना बा की है ,	ము ందే చెపపి న టలు , ఇది ఇంకా అ ధి కా రిక సమా చా రం కాదు ,	0.5959
और इन के गा य ब होने पर किसी को पता तक नहीं च ले गा .	కాబటటి ఎవర ెనా చని పోయా ర నే విషయం ఎవ రికీ తెలియదు .	0.5543
कोई फा य दा नहीं . वे हमें पहले ही देख चु के हैं .	అందు లో అరథం లేదు . వాళలు మమ మ లని ఇ పపటి కే చూశా రు .	0.6254
तो कर ू में से किसी को मा रो गे तो बेह तर होगा ,	కాబటటి మీరు విమా నం సి బబ ంది ని అయి నా చం ప చచు ,	0.5939
{ \ an8 } देखो , वहाँ एक घ ं टा , 3 7 मिन ट लि खा है .	{ \ a n 8 } ఇంకా గ ంటా 3 7 ని మి ష ాలు అని చూ పి సతోంది .	0.6896
और उन . . . उन न ं बर ों पर फोन करते रह ते हैं .	ఇంకా మనం . . . మనం వాటి ని పర యత ని సత ూ ఉ ందా ం .	0.6597
इन लोगों के कहीं भी भा ग निकल ने से पहले , विमान को नीचे उ तर ने का हर सं भ व मौ का देना .	ఈ నే ర గా ళ లు ఎ కకడి కె నా తపప ి ంచు కు నే లో గా ఆ విమా నం కష ే మ ంగా ది గే పరతి అవ కా శా నని కల పి సతా ం .	0.6440
- सुनो . . . - यह एक सो ची - समझ ी चा ल है .	- వి ను . . . - ఇది ప థ కం పర కా రం చేసిన ది .	0.7329
सभी पो र ट स को त ु र ंत एक चे ता व नी भे जो .	వె ంట నే అ నని పో ర టు లని అ పర మ తత ం చేయ ండి .	0.6646
टा र गे ट वाह न दिखा ई नहीं दे रहा है .	టా రగ ె ట వా హ నం మీద ని ఘ ా కె మె రా లేదు .	0.6039
तुमहें यह समझ कयों नहीं आ रहा है ?	మీకు ఇ ందు లో ఏ ది అరథం కా వడం లేదు ?	0.5330
स था नी य पुलिस को सू च ना दे दी गई है और वे रा स ते खा ली कर वा रहे हैं .	లో కల పోలీ సు ల కి సమా చా రం అ ంది ంచ డ ంతో వాళలు ఆ దా రి లో కి రా వడం లేదు .	0.6719
ये एक और गे ट खो ल रहे हैं . तुमहें कया लगता है ये और कया करेंगे ?	వాళలు అవ త లి వె పు గే టు తె రు సతుననా రు . ఇం కే ం చేసతా రు అనుకుంటుననా వు ?	0.5840
- ग ृ ह सच ि व के पास हो ते हैं . . . - हमें फिर भी इसे रो क ना होगा .	- సర వ అ ధి కార ాలు ఆ యన కే ఉననా యి . . . - అయి నా కూడా మనం దానని ఆ ప ాలి .	0.7025
जो कुछ भी हो रहा है , ए ड गर , हमा रा उससे कोई ले ना - देना नहीं है .	అకకడ ఏం జరుగు తుననా కానీ , ఎ డ గర , దాని కీ మా కూ ఎలా ంటి సం బం ధ ం లేదు .	0.6836
देखो कया दर वा जे के पास कोई है .	త లు పు దగగర ఏ మెనా ఉ ందే మో చూడు .	0.6106
उसने मुझसे अभी - अभी कहा है . वे एक और या तरी को मार ने वाले हैं .	అతను ఇ పపుడ ే నాకు చెపపా డు . వాళలు ఇం కో మని షి ని చం ప బో తుననా రు .	0.6506
नहीं . यह बाहर जा कर कुछ बो ले गा , तो हमारी मु श कि ल ें बढ जाएँ गी .	లేదు . తను వెళలి , అంద రికీ చెబు తా డు , మరి నని సమ సయ లు తె సతా డు .	0.6704
जि से कुछ ही दे र पहले " इन वे सट में ट डे ली " ने री ट वी ट किया है ,	కొ ద ది కష ణ ాల కి ంద ట ఇ న వె సట మె ంట డె లీ సం సథ రీ ట వీ ట చేసి ంది .	0.6829
हमें एक या तरी को मार ना है और उसकी त स वी र ख ी ं च कर भे ज नी है .	ఒక ప యా సి ం జర ని చం పు తుననా ం , ఒక ఫో టో తీసుకు ని , పం పి సతా ం .	0.6737
और बे लट से मार ना भी अचछा रहे गा , कयोंकि श ो र नहीं होगा .	ఇంకా ఆ బె ల టు కూడా తెలి వెన ప నే , ఎందుకంటే అది శ బ ద ం చేయ దు .	0.6383
ऐसे रख ना ता कि हमें दि ख स के .	ఆమె మాకు కనిపి ంచే లా పె టటు .	0.5335
जि तना समय " प ॉ प टर ॉल " के पा ँच ए पि सो ड देख ने में लगता है .	అది . . . అది ' పా పె ట రో ల స ' ఐ దు ఎ పి సో డ లు చూ సిన ంత సే పు .	0.7064
इन का दि मा ग ख रा ब हो गया है .	వాళల బు ర రలు పని చేయ డం లేదు .	0.5938
यह तुमहारी तर की ब थी , दोसत .	అది నీ ఐ డి యా కదా , మి తర మా .	0.4830
अगर आप खत रे में हैं , तो आप अपने टे ली फोन पर 5 5 द बा एँ .	మీరు పర మా ద ంలో ఉ ంటే , మీరు మీ టె లి ఫో ను లో 5 5 న ొ కక ండి .	0.6679
या हम इं कार कर सकते हैं .	లేదా మనం ఎ దు రు తి రగ చచు .	0.5612
या फिर उसे यह भी पता है कि उसके या तरी कौन हैं .	లేదా తన పర యా ణ ి కు లు ఎవర ో ఆ పె లె ట కి తెలియ కపో వచచు .	0.5889
हम इन हें इ तनी आ सा नी से नहीं जाने दे सकते . - वे जो चाह े , कर सकते हैं .	- వాళ లని ఊ రి కే అలా వది లి పెటట ము . - వాళలు ఏం చేయ ాలను కు ంటే అది చేయ ని వ వాలి .	0.6365
जिस मो बा इ ल से उनहोंने फोन किया था , वह बंद है .	వాళలు ఫోన చేసిన నె ం బ రు పర సతు తం స వి చా ఫ అయి ఉంది .	0.6421
हाँ , लेकिन अगर ऐसा दो बा रा हुआ तो ? अगर इन हें एक और ला श की जरूरत प डी तो ?	సరే , కానీ అలా ంటి పరి సథి తి మ ళ లీ త లె త తి తే ? మర ొ క శ వం ఫో టో కావాలి అంటే ?	0.6153
उसे लगता है यह उसे रो क कर रख ने की चा ल है . उसे फ ँ सा ने की एक कोशिश है .	మనం వయ ూ హ ం పర కా రం ఆ ల స యం చేసతుననా ం అ ంటుననా డు . ఇది ఒక ఉ చచు అనుకుంటుననా డు .	0.6478
मतलब के ए 2 9 के 2 5 मी ल के घ े रे में कोई ना गर ि क विमान नहीं होना चाहिए .	కె ఎ 2 9 విమా నం పరి ధి కి 2 5 మె ళ ల ద ూ రం లో ఎలా ంటి ప ౌ ర విమా నం లే కుండా చే దదాం .	0.6702
तुमने विमान के नीचे उ तर ने तक हमें रो क ने के लिए रा सता बंद किया है .	విమా నం ల యా ండ అ యయ ే వర కూ మమ మ లని అ డ డు కో వాల ని మీరు రో డ డు బ లా క చే యి ంచా రు .	0.6350
सब की जरूरत पड सकती है .	అలా ంటి పరి సథి తే వ సతే .	0.4743
नहीं तो तुमहारे राज दु निया में फै ल जाएँ गे .	లేదా పర ప ంచా నికి నీ గురించి న వా ర త తెలు సతుంది .	0.5879
हे . कया यह सच है ? उन में से एक आदमी मर गया ?	హేయ , ఇది నిజ మే నా ? వాళ లలో ఒక డు చని పోయా డా ?	0.6120
ध ी रे - ध ी रे आ देश मान ो .	ని దా న ంగా అమ లు చేసతా ం .	0.5736
अभी भी रु के हुए हैं .	ఇంకా క ద ల కుండా ఉననా రు .	0.4877
वही दो बा रा हो रहा है .	మ ళ లీ అదే జరుగు తోంది .	0.4905
अगर ये अभी भी किसी ह वा ई कष े तर में जा रहे हैं , तो इन की म ं जि ल सिर फ फर न हि ल हो सकती है .	వాళల కి ఏద ెనా వె మా ని క సథ ా వర మే కావాలి అను కు ంటే , అకకడ ఉనన ది కే వల ం ఫ ె ర న హి ల మా తర మే .	0.6880
वे अचछी तरह जानते हैं उनहें कहाँ जाना है .	ఎ కకడికి వెళల ాలో వాళల కి ఖ చచితంగా తెలుసు .	0.5093
हमें वहाँ पहु ँच ने में कि तने मिन ट लग ेंगे ?	మనం ఇంకా ఎ నని ని మి ష ాల లో ఇంటి కి వెళ తా ం ?	0.6009
हमारे पास सा फ त ौ र पर यही दो वि कल प हैं .	ఇది స ప ష ట ంగా ఒక టె నా లేదా మర ొ క టె నా కా వచచు .	0.5863
टा र गे ट रु का हुआ है .	టా రగ ె ట సథి ర ంగా ఉంది .	0.5379
देखो , तुम अपने आद मि यों को वापस बु ला लो . इन लोगों को जाने दो .	వి ను , మన ద ళ ాలని తి పప ి పం పి ంచే య . వీ ళ లని స వే చ ఛ గా వెళ లని వ వు .	0.6156
हमें यहाँ से जाना चाहिए . आप दोनों . . .	మనం ఈ గ ది ని ఖ ా ళ ీ చేయ ాలి . మీ రి దద రికీ . . .	0.5625
कि से मर ना है ? कि से ?	ఎవ రికి కావాలి ? ఎవరు ?	0.4970
मैं हम सब की बात कर रहा हूँ . विमान में बैठ े हुए सब लोगों की .	నేను అంద రి గురించి మాటలాడు తుననాను . మొ తత ం విమా నం లో అంద రూ .	0.6022
फर न हि ल में एक विमान इं त जार कर रहा है और उसने उ ड ने की बा का य दा अन ुम ति ली है .	ఫ ె ర న హి ల దగగర ఒక విమా నం సి దధ ంగా ఉంది , ఇంకా దానని చ టట బ దధ ంగా అ దద ె కు తీసు కుననా రు .	0.6880
नहीं . बिलकुल नहीं .	లేదు . అవ కా శ మే లేదు .	0.4216
मैंने कहा कार रो को .	కా రు ని వె ంట నే ఆ పు .	0.5212
कया हमने उस मो बा इ ल पर दो बा रा फोन किया ?	ఆ మొ బె ల ని మ రో సారి పర యత ని ంచి చూశా మా ?	0.5372
यहाँ कुछ नहीं होगा !	ఏమీ జ రగ బో వడం లేదు !	0.4930
इन हें एक ला श दिखा नी थी . ज मी न पर कुछ लोगों को एक ला श की त स वी र भे ज नी थी .	వాళలు ఒక శ వా నని చూ పి ంచ ాలని అ డి గా రు . గర ౌ ండ కి ఒక శ వం ఫో టో ని పం ప మని చెపపా రు .	0.6559
कुछ भी हो , कया हम इस बात पर स हम त हैं :	ఏ ది ఎలా జరిగి నా , మన మ ంతా ఒ పపు కో వాలి :	0.5766
ज मी न पर बैठ ो ! मैंने कहा ज मी न पर बैठ ो !	నే ల మీద కూ రచ ో ండి ! నే ల మీద కూ రచ ో ండి !	0.6249
मतलब , 3 7 . यह . . .	అంటే , 3 7 . ఇది . . .	0.7188
उनहोंने एक या तरी को गो ली मार दी . उसका कत ल कर दिया .	వాళలు ఇ పపటి కే ఒక రి ని తు పా కీ తో కాల చా రు . ఒక హ త య చేశా రు .	0.5752
हाँ ? कि हम अपने समझ ौ ते पर का य म हैं .	సరేనా ? మనం ఒక ే మాట మీద ఉంటా ం కదా .	0.5869
यह मेरे पास है ! मेरे पास है . ले लो .	అది ఇకకడ ఉంది ! ఇకకడ ఉంది . తీసు కో .	0.5543
इस पर लि खा है , लड ने के लिए " तैयार हो जाओ " .	పో రా డ టా నికి " సి దధ ంగా ఉండ ండి " అని రా సి ఉంది .	0.5871
विमान पर एक ही ला श थी और इन होंने उसकी त स वी र भे ज दी ,	అంటే , విమా నం లో ఉనన ఒక ే ఒకక శ వం ఫో టో ని పం పి ంచా రు ,	0.6466
यह विमान उ ड कर उ त तरी अ फ री का जा सकता है , और यही बात सबसे जरू री है .	ఈ విమా నా నికి ఉ తత ర అ మె రి కా వర కూ వెళ లే సా మ రథ యం ఉంది , అది కీ ల క మెన అ ం శం .	0.6531
- अगर यह नहीं , तो कौन ? - सट ु अ र ट .	- అతను కా కపో తే , ఇం కె వ రు ? - సట ు వర ట .	0.6769
धत ते रे की . जा रा , ज रा यहाँ देखो .	ఛ . జా హ రా , నువవు ఇది ఒక సారి చూడ ాలి .	0.6195
ठीक है . चलो , इसे आ सान कर दे ते हैं .	సరే . దీ నని మరి ంత తే లి క గా చే దదాం .	0.6429
- हम रु के हुए हैं . हमें देख लिया गया है . - समझ गई .	- మేము సథి ర ంగా ఉననా ం . దొ రికి పోయా ం . - వి ంటుననా ం .	0.6092
ऐसा अन ुम ा न है कि इस ब रि टि श विमान पर 2 00 से जयादा लोग स वार हैं .	ఈ బ రి టీ ష విమా నం లో సు మా రు రెండు వ ంద ల మంది పర యా ణ ి కు లు ఉననా రని అ ంచ నా .	0.6604
जो कुछ भी नीचे हो रहा है , उस पर .	కి ంద ఏం జరుగు తో ందో , దాని కోసం .	0.5926
यह किस ने बना या ?	ఇది ఎవరు చేశా రు ?	0.5156
ये सी धा उस ी की तरफ जा रहे हैं .	వాళలు నే రు గా అ కకడి కే వెళ తుననా రు .	0.5614
म म मी , यह कया है ?	అమమా , అది ఏంటి ?	0.4547
मेरी तरफ मत देख !	నా వె పు చూడ దదు !	0.4489
मुझसे यह चा ला की मत करो , डै नि य ल . तुमने रा सता बंद कर दिया है .	నా తో ఇలా ంటి ఆ టలు ఆ డ దదు , డా ని య ె ల . మీరు ఈ రో డ డు ని బ లా క చే యి ంచా రు .	0.6551
दिखा ई दे रहा है . टा र गे ट वाह न हमारे साम ने है .	సమా చా రం అ ందుకు ననా ం . టా రగ ె ట వా హ నం మీద ని ఘ ా ఉంది .	0.6390
बु रा मत मा नि ए गा , ल ु इस , इसे सिर फ एक ही इं सान रो क सकता है और वह हैं आप .	మీ మీద గ ౌ ర వ ంతో చెబు తుననాను , లూ యి స , దీ ని ని ఆ ప గ లి గే ఏ కె క వయకతి మీ రే .	0.7030
जिस के ल ंद न पहु ँच ने का त य समय एक ब ज कर छ ह मिन ट है . वह विमान मु सी ब त में है .	ల ండ న కి ఒ ంటి గ ంట ఆ రు ని మి ష ాల కు చే రు కో వల సి ఉంది . ఆ విమా నం పర సతు తం పర మా ద ంలో ఉంది .	0.6946
- मैंने यह कहा था . - वह भी इ तने कम समय में .	- ఆ విషయం చెపపా ను . - ఇంత త కకువ సమయం లో చేయ లే ము .	0.6353
टा र गे ट के पास ह थ िया र हो सकता है . कया करना है ?	టా రగ ె ట సా యు ధ ు డె ఉండ చచు . ఏం చేయ ాలో చెపప ండి .	0.6498
- किस ने कहा है ? - इससे तुमहारा कोई मतलब नहीं .	- ఇది ఎవరు కో రు కుననా రు ? - అది నీకు అన వ సరం .	0.6389
नहीं . यह देखो .	లేదు . ఇది చూడు .	0.5237
हैलो ? कया आप दो ह रा सकते हैं ?	హ లో ? మర ొ క సారి గ టటి గా చెపప గల రా ?	0.5479
कुछ हो रहा है .	ఏదో జరుగు తోంది .	0.4529
ऐसा करने की कोई जरूरत नहीं है .	ఇది ఇలా జ రగ కుండా ఉండ ాల సింది .	0.5359
यह ग ृ ह म ंत रा ल य का मा म ला है .	ఇది హ ో మ శా ఖ కార య ాల యం వయ వ హా రం .	0.6616
तुमहें एक या तरी को मार ना है ,	మనం ఒక ప యా సి ం జర ని చం ప ాలి ,	0.5886
वही हो रहा है .	ఇం క మొద లె ంది .	0.4364
इस के अ ला वा , यह कि ंग ड म ए यर ला इं स की फ ला इट है , जो दु ब ई से ल ंद न आ रही है .	అంతే కా క , అది దు బా య నుండి ల ండ న బయ లు దే రి న కి ంగ డ మ ఎ యి ర లె నస విమా నం .	0.7319
ठीक है . वे हमारी न जर ों के साम ने हैं . ओ वर .	సరే . వాళ లని ఒక క ంట కని పె డు తుననా ం . ఓ వర .	0.6882
ठीक है , जब विमान हमारे ह वा ई कष े तर में आए गा , त ब के लिए एक ब ब ल तैयार करो .	సరే , ఆ విమా నం మన గ గ న తల ంలో కి పర వే శి ంచ గా నే మనం ఒక ర కష ణ క వ చం ఏ ర పా టు చే దదాం .	0.7055
समझ गया . तुमहें एक या तरी को मार ना है और उसकी त स वी र ख ी ं च नी है .	నాకు అరథ మె ంది . మీరు ఒక ప యా సి ం జర ని చం పే సతా రు , ఒక ఫో టో తీసు కుంటా రు .	0.6598
वह रही वह लड की . तुम उसे देख सकते हो , व हीं दी वार पर , मु स कु रा ते हुए ,	అది గో ఆమె . మీరు ని ల బ డి న ప కక నే గో డ మీద ఆమె న వ వు త ూ కనిపి సతోంది ,	0.6963
कार में बैठ े उन दो लोगों पर कम ध यान दो और उस कम ब खत विमान में बैठ े 2 00 लोगों पर जयादा .	మనం కా రు లో ఉనన ఇ దద రి మీద త కకువ ద ృ ష టి పె టటి , విమా నం లో ఉనన రెండు వ ంద ల మంది గురించి ఆలోచి ంచాలి .	0.6262
हाँ . य हीं से .	అంతే . అలాగే .	0.4571
अपने मु ँ ह से पे न निका लो .	నీ నో టి లో ంచి పె నను తీ సే య .	0.6019
ठीक है . मैं आपको त ु र ंत वापस क ॉल कर ूँगी .	సరే . నేను వె ంట నే తిరిగి ఫోన చే సతాను .	0.5407
कि ंग ड म 2 - 9 एक घ ं टे से भी कम समय में हमारे ह वा ई कष े तर में आ जाएगा .	కి ంగ డ మ 2 - 9 గ ంట క ననా త కకువ సమయం లో మన గ గ న తల ంలో కి పర వే శి సతుంది .	0.7259
