Hindi	Telugu	Similarity_Score
- हे लो , जान ! - हे लो , जान !	- హాయ , బ ే బీ . - హాయ , బ ే బీ .	0.5330
मतलब , मैं इससे उ बर नहीं पा ती .	అంటే , అది మర చి పో లే కపో తుననాను .	0.5609
हे लो , प ति दे व .	హ లో భ ర త గా రు .	0.6072
पलीज , पलीज , बैठ ो .	ప లీ జ , ప లీ జ కూ రచ ో .	0.4629
अब वो भी हमा रा काम है कया ?	అది ఇపపుడు మన జా బ లో భా గ మా ?	0.5415
मुझे इसका दा म पता करना है .	దీ నని బ ే రీ జు వే సి చెపప ండి .	0.5034
अगर मुझे ये दो बा रा करना होता , तो मैं फिर से कर ूँगी .	నే ని ది మ ళళ ీ తిరిగి అంతా చె యయ ాల ీ అంటే , నేను చే సతాను .	0.6060
ते रे को पता है , कर न सर ने मेरे को खुद बु ला या है .	నీకు తెలుసా , క రణ సర ననను పర త యే క ంగా ఇ న వె ట చే సా రు .	0.6533
वह अचछी है .	తను మంచిది .	0.4514
तो , करना तो पडे गा .	నువవు చె యయ ాల సి ందే .	0.4889
इससे तुमहारा कोई मतलब नहीं है .	ఇది మీకు సం బం ధి ంచ న విషయం కాదు .	0.5056
हाँ , बिलकुल . कुछ भी . जो भी क हो .	సరే తపప కుండా . ఏద ెనా సరే . చెపపు .	0.5621
अ ंत में , वही मा य ने रख ते हैं .	. . . చి వ రికి , వాళళ ే అంతా న ూ .	0.6183
हाँ , हमने उनहें प ला न भे ज दि ए हैं . उनकी म ं जू री का इं त जार है .	అవును , వాళల కి ప లా నస పం పి ంచా ం . అ ంగ ీ కా రం కోసం వె యి ట చేసతుననా ం .	0.6772
चि ं ता मत करो . सब ठीक ही होगा .	ఖ ంగా రు పడ కు . అంతా బాగు ౦ టు ంది .	0.5926
हाँ . वो कुछ सै ं प ल आया है वहाँ से .	అవును . వాళళు కొనని సా ం పు ల స పం పా రు .	0.6047
ख ै र , अभी वापस फोन मत करना , ठीक है ?	సరే , మ ళళ ీ వె ంట నే కాల చె యయ కు , సరే ?	0.6504
कया मतलब मेरी पह ली शादी है ?	మొద టి పె ళళ ంటే నీ ఉద దే శ మే ంటి ?	0.4506
मुझे ये सब कयों बता रहे हो ?	నా కి ద ంతా ఎందుకు చెబు తుననా వు ?	0.4925
- ये ह वे ली के लिए ? - हाँ .	- ఇ వి మ హ లు కో సమా ? - అవును .	0.6487
जब माँ की बात होती है ना , तो भा व ना एँ ही काम आ ती हैं .	ఎపపుడూ తల లు ల విషయం లో , సె ంటి మె ంటే బాగా పని కొ సతుంది .	0.5975
चलो , अचछी बात है . इस बार वा इन सिर फ ब ॉ बी से , हाँ ?	సరే మంచిది . ఈ సారి వెన కే వల ం బా బీ వ దద ను ంచే , సరేనా ?	0.6194
नहीं , मतलब . . . मैं उन का अचछा नहीं चाहती .	చెపప ాల ౦ ట ే . . . నేను ఆ యన గురించి మంచి కో ర ను .	0.5815
ये ही रे तुमहारे लिए हैं . उ ता र ना मत . ठीक है ?	ఈ వ జర ాలు నీ కోసం . వాటి ని తీ సె యయ కు . సరేనా ?	0.6597
तुमहें नहीं पता यह करना कि तना मु श कि ल था .	ఇది తే ల చ డానికి ఎంత కష ట మ య యి ందో నీకు తె లీ దు .	0.5637
मी रा का जन म दिन है ना ?	మీ రా పు టటి న రోజు కదా .	0.5547
और मैं वो कर सकता हूँ जो मैं चाहता हूँ .	నాకు కా వల సిన ది చె యయ డానికి వీ ల వు తుంది .	0.5136
एक उ ल टे हाथ का द ूँगी मेरे पास आया तो .	నా దగగర గా కనిపి ంచా వ ంటే చె ం ప వా య గొ డ తాను .	0.5817
कौन करता है ये सब ?	ఎవరు చేసతా రు అవ న నీ ?	0.5355
- कया ? - मुझे . . .	- ఏంటి ? - నేను . . .	0.7212
वह मुझे ह ँ सा ता है .	తను ననను న వ వి సతా డు .	0.5321
पा गल हो गई हो कया ?	నీకు పి చచి ప టటి ందా ?	0.4254
कर न , तुमने पि छ ले साल भी यही कहा था .	క రణ , నువవు గ త ఏ డా ది కూడా ఇ దే చెపపా వు .	0.6424
ता रा , पलीज . मैं अ के ले ये नहीं कर सकता . गा य तरी की बे टी मुझसे न फ रत करती है .	తా రా , ప లీ జ . నే న ొ కకడి నే చె యయ లేను . గా యత రి కూ తు రు ననను అస హ యి ంచు కు ంటుంది .	0.7055
पूरी जिंदगी इस ी ग टर में बि ता ए गी .	తన జీవి త మ ంతా ఈ చెతత లో నే బర త క ాలి .	0.5329
पलीज उसे मत बता ना .	ప లీ జ తన కి చెపప కు .	0.5170
वाह .	వా వ .	0.3262
चलो अचछा है , दोनों य हीं हो .	మంచిది , ఇ దద రూ ఇకకడ ే ఉననా రు .	0.5611
अचछा , वहाँ तो बहुत ठ ंड होगी ना ?	సరే , అకకడ చాలా చ లి గా ఉంటుంది కదా ?	0.5225
र ं जन : ओ ए न जी सी में अ का उ ंट ें ट हूँ .	ఓ . ఎ న . జి . సి . లో ఎ క ౌ ంట ె ంటు ని .	0.6189
नहीं . बस काम और बाहर आ ना - जाना , हमें कभी - कभी व कत नहीं मिल पा ता .	లేదు . పని ఇంకా పర యా ణ ాలు కొనని సా రలు మా వి ండ ో ని మి స స వు తుననా ం .	0.6042
अभी के लिए इसे वो दे सकते हैं .	పర సతు తా నికి అది తన కి ఇవ వచచు .	0.5686
" काम सू तर " टा इ म टे ब ल का आ खि री दिन है .	. . . కా మ సూ తర టె ం ట ే బు లలో ఆ ఖ రి రో జ ని .	0.7101
- मैं और कि से . . . मैं कया . . . - जै ज को ले जाओ .	- నేను ఏం - నేను ఏం చె యయ ాలి , - జా జ ని తీసు కె ళళు .	0.6265
कया ये गल त है ?	అది త పపు కదా ?	0.5517
हाँ , पर मैं कल नहीं जा सकती .	సరే కానీ నేను రే పు రాల ే ను .	0.4922
कल मिल ती हूँ .	నేను కలు సతాను .	0.3948
चे ह रे का र ंग ही बद ल जा ता था . एक द म गो री .	మొ హ ాలు మె రు సత ూ ఉంటా యి . బాగా తె లల గా అవు తా ం .	0.6397
आप जो भी चा हें . हम दु ल ह न की से वा में हा जि र हैं .	మీకు ఏం కా వాల ననా మేము పె ళళ ి కూ తు రు సే వ లో ఉననా ం .	0.6627
- न जर ना ल गे . - ब ब ल स : हाँ . सच में , है ना ?	- దేవు డి దయ . - నాకు తెలుసు . అవును కదా ?	0.5472
तुम मेरी छ ु प ने की जगह हो .	నువవు నా ర హ సయ పర దే శా ని వి	0.5960
अगर वह तुमहारी माँ होती ं तो तुम . . .	ఆ వి డ మీ అమమ అయితే , మీరు కూడా ఇలా గే . . .	0.5886
तुमहारे 2 1 व ें जन म दिन पर , चि ड िया घर में पार टी हुई थी .	నువవు జ ూ పా ర టీ చేసు కుననా వు . నీ 2 1 వ పు టటి న రోజు కి	0.6594
देखा बं गा लि यों को मन मर जी करने दो , तो कया होता है ?	బె ంగ ాల ీ లని వాళల పని ము ట ల కి వది లే సతే ఏ మ వు తు ందో చూడు .	0.6062
आ गई हमारी प ं जा बी पे सट री .	ఇది గో మన పం జా బీ పే సట రీ .	0.5838
मुझसे शादी करना चाहते हो ?	ననను పె ళళ ి చేసు కుంటా వా ?	0.5307
कुछ भी करो . तुम घर बे च दो . तुम ए फ . डी . तो ड दो !	కా వాల ంటే ఏద ెనా చె య యి . ఇ ల లు అమ మె య , డి పా జి టలు తీ సె య .	0.6226
तो मेरी रख ै ल की तरह पे श आ ना बंद करो . यहाँ आओ .	అయితే నా తో ఉ ం పు డు గ త తె లా పర వర తి ంచడం మా నె య . ఇలా రా .	0.6407
मै ड म , मैं कुछ करने की कोशिश नहीं कर रहा . मैं . . .	మే డ మ , నేను ఏమి చె యయ డానికి చూడ ట లేదు , నేను . . .	0.6584
आप की माँ बहुत दु ख ी हैं कि आप लोग उनकी शादी में नहीं आ एँ गे .	సరే కానీ మీ అమమ గా రు చాలా బా ధ పడు తుననా రు మీరు పె ళళ ి కి రా వ ట లే దని .	0.6286
1 2 , 1 3 , 1 4 , 1 5 . . .	1 2 , 1 3 , 1 4 , 1 5 . . .	1.0000
मु श कि ल था . मैं अ के ली थी .	ఒ ంట రి గా అది చాలా కష టం .	0.5721
