Hindi	Telugu	Similarity_Score
ल कष य के साथ लौ ट ू ं तो नहीं .	ల కష యా నని తీసు కె ళ ి తే చం ప రు .	0.6435
तुमहारा सबसे प वि तर कर त वय है सं घ की र कष ा करो ,	సో దర జా తి ని సం ర కష ి ంచడం నీ అ తి ప వి తర మెన బా ధ యత ,	0.6470
उसके बाद सबसे प वि तर कर त वय है मेरी , या नी यो द धा टा इट स की र कष ा करो .	ఆ తరువాత ననను , అంటే సె ని కు డు టె ట స ను ర కష ి ంచడం నీ అ తి ప వి తర బా ధ యత .	0.7064
टी	టీ	0.3008
बात सुनो .	హే , చూడు .	0.4320
जो भी चा हें .	ప టటి ంచుకో ను .	0.4032
मै क सि मस .	మా క సి మ స .	0.5368
यह . . .	థా . . .	0.7356
थे डि य स !	థా డి య స !	0.5795
यकीन नहीं होता तुमसे ब रा ंड लिया .	నీ తో ము దర వే యి ంచడం నేను న మమ లేను .	0.5540
थे डि य स .	థా డి య స !	0.5421
थे डि य स !	థా డి య స !	0.5795
थे डि य स !	థా డి య స !	0.5795
नहीं !	వదదు !	0.3902
सुनो , मुझे यहाँ से निका लो गी पलीज ?	హే , ననను ఇ కకడి ను ంచి బయట పడ ే సతా వా ?	0.5533
वह तुम ही थे न ?	అది నువ వే , కదా ?	0.4931
वहाँ , फि ली में ?	అ పపుడు ఫి ల లీ లో ?	0.4773
हाँ , वहाँ . . . मैं ही था .	అవును , అది . . . అది నే నే .	0.6187
याद है वह बं दा जो मेरे साथ था ?	నా తో వది లే సిన అతను గుర తుననా డా ?	0.5714
सच कह ता हूँ . पलीज .	ననను న మ ము . దయచేసి .	0.5575
मैं लू सी हूँ .	నా పేరు లూ సీ .	0.5217
एक मै न य ु अ ल ऑ प शन है .	ఓ మా న వీ య ఆ ప షన ఉంది .	0.6809
- तुमहें बस . . . - मिल गया .	- నువవు . . . - చూ సు కు ంట ాల ే .	0.6475
अरे .	హేయ .	0.3519
शायद ल ॉ ग बद ल दि ए हों .	బహు శా ఆ లా గ లు తపప ే మో .	0.5704
हमें पता है अंदर कया है	అకకడ ఏ ము ందో మాకు తెలుసు	0.4769
न ॉर मन .	నో ర మన .	0.4749
चे सट र .	చె సట ర .	0.6133
तुम दोनों कहाँ थे ?	ఇ దద రూ ఎ టు వెళ లా రు ?	0.4550
