Hindi	Telugu	Similarity_Score
मु क द मे चला ने को कहा .	అ ల ఫోన సిన ఆ దే శి ంచా రు .	0.5646
उनहोंने सिर फ सै न य अ दा ल त में पे श ी स वी कार की .	సె ని క నయా య సథ ా నం లో నే కే సు లు ఎ దు ర కో బో తుననా రు .	0.6588
- कुछ नहीं . - कुछ नहीं .	- ఏమీ లేదు . - ఏమీ లేదు .	0.5095
ज ॉ गर प त लू न पह न कर मत सो ना !	జా గర స వే సు కు ని పడు కో వదదు !	0.5968
नहीं .	లేదు .	0.3291
- नहीं . - ह ू लि यो .	- లేదు . - హ ూ లి యో .	0.6378
मेरे सक ूल में म ना है .	మా బ డి లో ని ష ే ధి ంచా రు .	0.5470
मैंने दिन नहीं बताया .	ఎపపుడ ో నేను చెపప లేదు .	0.4662
सु जाना .	సు సా నా .	0.4484
पलीज .	ప లీ జ .	0.3045
सुनो .	వి ను .	0.3956
यह कया कह रहा है ? यह ता ना शा ही का ऐ ला न है .	అతను ఏమి చెబు తుననా డు ? ఇది ని య ంత ృ త వ పర క ట న .	0.6067
दोसत ,	బా బ ూ ,	0.2785
ऐसा नहीं होगा . इस की इ जा ज त कौन दे गा ? ट रो को ली ?	అలా జ రగ దు . దా నికి ఎవరు అను మ తి సతా రు ? టర ొ కో లి ?	0.6518
तुम जानते हो कि अगर जज मु क द मा चला ना चा हें गे , तो वही होगा .	నయా య మూ ర తు లు వి చా రణ కో రు కు ంటే అది జరుగు తు ందని నీకు తెలుసు .	0.6371
- तुम कया बात करना चाहते हो ? - कुछ भी नहीं .	- మీరు దే ని గురించి మాటలాడ తా రు ? - ఏమీ లేదు .	0.5978
कुछ हुआ कया ?	ఏం జరిగి ంది ?	0.4052
यह तो ख तर ना क है न ?	అది పర మా ద క రం కా దా ?	0.5919
ख ै र . . .	సరే . . .	0.6218
- हैलो ? - ह ू लि यो सट रा से रा बोल रहे हो ?	- హ లో ? - హ ూ లి యో స తర సే రా ? ఇది నువ వే నా ?	0.6434
बा य . दिन अचछा गु ज रे .	ఉంటా ను . శ ు భా కా ం కష లు .	0.5986
तो समय बर बाद नहीं करेंगे .	మనం సమ యా నని వ ృ థా చేయ వదదు .	0.5486
बर ु जो , मैं यह कर ूँगा , पर अपने ढ ंग से कर ूँगा .	బ రూ జో , నేను దీ ని ని చే సతాను , కానీ , నా శ ె లి లో .	0.6037
तुम समय से काम नहीं कर पा ओ गे .	నువవు ఇ చచి న సమయం లో పు చేయ లే వు .	0.5860
हाँ , उसने म ना कर दिया . वह इस में शा मिल नहीं होना चाहता है .	అవును , అతను రా నని చెపపా డు . అతను దీ ని లో భా గం కా ద ల చు కో లేదు .	0.6135
- वह मन री क का उ म मी द वार था . - नहीं .	- అతను మన రీ కె య ొ కక అ భ య రథ ి . - వదదు .	0.6775
- गि रा र डी ? - नहीं .	- గి రా ర డి ? - వదదు .	0.5920
ब रू नी ?	బ రూ ని ?	0.5380
हे क टर ए ल सि डे स ?	హె క టర అ ల సి డె స ?	0.6690
तो अ दा ल त ने मुझे सा र व ज निक बचा व व की ल बना या है .	ననను పర భ ు త వ నయా య వా ది గా నయా య సథ ా నం ని య మి ంచి ంది .	0.6400
इस में दे र नहीं ल गे गी .	ఇది ఎకకువ సమయం ప టట దు .	0.5275
सब ख डे हो जाएँ .	అంద రూ ని ల బ డ ండి .	0.5680
ऑ र लै ंड ो रे मो न अ गो स ती . मैं इस अ दा ल त की व ै ध ता को नहीं मान ता .	ఒ ర లా ండ ో ర మో న అ గో స తి . నేను ఈ నయా య సథ ా నం చ టట బ దధ తను గుర తి ంచ ను .	0.7364
मो रे न ो ओ काम पो .	మొ రే నో ఒ కా ం పో .	0.5409
