Hindi	Telugu	Similarity_Score
एक घर , एक और त .	ఇ ల లు , ఒక సత రీ .	0.5882
और वह ए ह सा स सच चा है .	ఆ ఫీ లి ంగ మా త రం నిజ ం .	0.5651
ब लिस	బ లి స	0.3506
गरे ग वि ट ल	గ రె గ వి ట ల	0.5489
परा य द वी प	ద వీ ప కల పం	0.5000
ए मि ली वि ट ल	ఎ మి లీ వి ట ల	0.4260
गरे ग वि ट ल .	గ రె గ వి ట ల .	0.5942
अचछा , मैं अभी आ ता हूँ .	సరే , ఇ పపుడ ే వ సతుననాను .	0.5200
ब य ॉर न पे डर स न	బ యో ర న ప ీ డ ర స న	0.6332
गरे ग ?	గ రె గ ?	0.4783
ब य ॉर न ?	బ యో ర న ?	0.5513
तुम अस ली हो .	నువవు నిజ మే .	0.5063
मैं इं त जार कर रहा था . . .	నేను ఎ దు రు చూ సతుననాను . . .	0.5808
माफ ी मत माँ गो .	కష మా ప ణ లు ఆ పి క .	0.4815
वहाँ जा कर ब ट ु आ लेकर आओ .	ఆ పర సు తీసు కొ ని ఇలా రా .	0.5643
- तुम कया कर रहे थे ?	- నువ వే ం చేసతుననా వు ?	0.5097
यह म ुम किन नहीं .	అది సా ధ యం కాదు .	0.4599
- यह टर ट लि सट ि क है .	- ఇది టర టి లి - స టి క .	0.5655
- ठीक है .	- తీసు కో .	0.4748
तुमहारी मदद के लिए शुकर गु जार हूँ .	చెపప ాల ంటే నీ స హా యా నికి ధనయవాదాలు .	0.5385
ब य ॉर न पे डर स न	బ యో ర న ప ీ డ ర స న	0.6332
मुझे दिखा ओ . तुमहारे पास वो चि तर हैं ?	నాకు చూ పి ంచు . నీ దగగర ఆ బ ొ మమ లు ననా యా ?	0.6123
" मुझे लगा था इ ला ज कर वा लिया . "	" అది బాగు చే యి ంచా వ ను కుననాను . "	0.6001
" बा या ँ कं धा या दा या ँ वाला ?	" నీ కు డి చె య యా , ఎ డ మ చె య యా ?	0.4989
गि रा ओ .	చె య యి .	0.3763
- नहीं .	- వదదు .	0.4612
भ ूल जाओ वो सा रे भर म .	ఆ భ ర మ ల నుండి బయట పడు .	0.5920
