Hindi	Telugu	Similarity_Score
वह तुमहें पसंद करती है .	ఆమె కు నీ పె న ఆ స కతి ఉంది .	0.4964
पै निक	పా ని క	0.4200
ऊ पर तक जाओ गे तो पै र ों से बाद लों को ठ ो कर लग सकती है ?	మన క ాలి వే లు మ బ బు లకు త గు లు తుంది అని అ నే ది గుర తు ందా ?	0.6557
हमारी बा री आ गई ?	మా వం తు వచచి ందా ?	0.4829
यह लो .	ఇది గో .	0.3359
सर दि यों में , वे पा इ प ों में घ ु स जा ते ,	శ ీ తా కాల ం వ సతే , అ వి పె పు లలో కి ద ూ రే వి ,	0.6728
उनहें कैसे पता कि वह च म गा द ड ों से डर ता था ?	గ బ బి ల ాల ంటే అతనికి భ య మని జ డ జీ ల కె లా తెలుసు ?	0.6275
उ प जाने वाले घर के पास .	అతని గం జా యి గ ృ హ ం దగగర .	0.4936
और फिर दु र घ ट ना का सवा ँ ग र चा .	ఆ తరువాత పర మా ద ంగా చూ పి ంచా డు .	0.5943
कुछ न ज दी की बढ ी ?	కా సత దగగర య యా వా ?	0.4959
वहाँ पहु ँच कर उनहें पता चला	వాళళ కకడికి వెళళ ా క , అ పపటి కే	0.4909
वह जान ती है हमें कुछ नहीं पता .	మన కు ఏం తెలియ దని ఆమె కు తెలుసు .	0.5629
तुमहें सि गरे ट से भी न फ रत है ?	నీకు సి గ రె టలు కూడా ఇష టం లేదా ?	0.6188
मैंने अपनी टि क ट देख ी ,	నా టి కె ట వె పు చూశా ను ,	0.5335
और कह ने को कुछ नहीं बचा .	ఇంకా చెపప ే ందుకు ఏం లేదు .	0.4814
डॉ ज के लिए है ?	ఇది డా డ జ కోసం ?	0.5540
रो डि यो .	రో డి యో .	0.3414
न ै ट ली .	నా ట లీ .	0.4623
न ै शन ल हा ई सक ूल रो डि यो ए सो स िए शन ए ंड र यू डॉ ज मे स न	జా తీ య హె స కూ ల రో డి యో అస ో సి యే షన ఆ ండ రూ డా డ జ మే స న	0.7049
आप पुलिस वाली हैं . खुद पता की जिए .	మీరు పోలీ సు లు . మీ రే తెలుసు కో ండి .	0.5483
शे रि फ आया था .	ష ె రీ ఫ వచచా డు .	0.5280
पर वे दो स ती ही नहीं करना चाहते , है न ?	అది వారు కో రు కు నన ది స నే హ మ యి తే నే , కదా ?	0.6142
- उसने फोन ल ॉ क नहीं किया ? - मेरे पास पास वर ड था .	- తన ఫోన లా క చేసు కో లేదా ? - నా దగగర పా స కో డ ఉంది .	0.6583
जब मैंने फोन ख री दा , तो हमारे बी च यह त य हुआ था .	నేను తన కు ఫోన కొ ని చచి న పపుడు అది మా మ ధయ ఒ పప ంద ం .	0.6573
मैं उसे कम रे में बंद कर दे ती ,	తన ను గ ది లో తా ళ ం వే సు ండ ే దానని ,	0.5764
ए ंड र यू डॉ ज मे स न .	ఆ ండ రూ డా డ జ మే స న .	0.6853
तै या री के लिए काफी समय है .	అయి నా పర ణ ా ళ ి కకు సమయం ఉంది .	0.5710
ह री के न हा र वी ने हमें पूरी तरह त बा ह कर दिया .	హా ర వే తు ఫ ా ను లో మా ద ంతా తు డి చి పె టటు కు పోయింది .	0.6088
वह कहीं च ढ ने की कोशिश कर रही थी ,	తను ఎ త తె న పర దే శా నికి వెళ ు తు ండ గా ,	0.5707
अस पता ल के बिल .	ఆ సు ప త రి బి ల లు .	0.5448
