Hindi	Telugu	Similarity_Score
मेरी जान . . .	నా పరి యా . . .	0.5464
उसे बहुत ना ज होगा .	తను ఎ ంతో గర వ పడ ే ది .	0.5229
बि ंग ो ह ॉल	బి ంగ ో హ ాల	0.4480
बि ंग ो हे ल	బి ంగ ో హె ల	0.4685
म ॉर नि ंग , ल ु पी टा .	శ ు భ ో ద యం , లు పి టా .	0.6517
बि का ऊ है	అమమ బ డు ను	0.4752
फो मो बी न	ఫో మో బీ న	0.3289
ल ु पी टा ?	లు పి టా ?	0.4726
ड ो लो रे स ?	డ ో ల ొ రె స ?	0.5078
- हैलो , दो स तो . - हैलो , ल ु पी टा .	- హాయ , అంద రికీ . - హేయ , లు పి టా .	0.6494
ओ क स परि ंग स सा मु दा य ि क क ें दर पू र व	ఓ క స పరి ంగ స క మ యూ ని టీ సె ంట ర త ూర పు	0.6877
चलो घ े रा बना एँ .	దీ నని ము గి దదాం .	0.5314
बहुत क माल की बात बो ली , बे टा .	అకకడ బాగా చెబు తుననా వు , బా బ ూ .	0.5749
मैं खो ल ता हूँ !	నేను చూ స కుంటా !	0.5123
नहीं . ये उसकी हैं . साम ने वाले दर वा जे पर लट की थी ं .	లేదు . ఇ వి అతని వే . త లు పు ముందు వే లా డు తు ంటే చూశా ను .	0.6475
ओ - 6 5 , 6 5 .	ఓ - 6 5 , 6 5 .	0.9718
- और अपना इ नाम लो ! - ठीक है .	- నీ బహు మ తి తీసు కో ! - అలాగే .	0.6090
मा रि यो ने तुमहें दूस री चा बी दी ?	మా రి యో నీకు మా రు తా ళ ాలు ఇ చచా డా ?	0.5736
चलो , उसके घर चल ते हैं !	అతని ఇంటి దగగర ఆ గు దాం !	0.5716
मा रि यो !	మా రి యో !	0.3542
तुम अ ंड ों को ज ला रही हो .	సరే , గు డ లు మా డు సతుననా వు .	0.5635
तो अब बात चु नौ ती तक आ पहु ँ ची .	లేదు , ప ంద ె ం ఇపపుడు మొద ల నన మాట .	0.5835
तुमहें ख री दा री के लिए ले चल ूँ , तो कै सा रहे ?	నినను నేను ష ా పి ంగ కు తీసు కె ళ ి తే ఎలా ఉంటుంది ?	0.6342
यह कै सा रहे गा ?	అద ె లా ఉంటుంది ?	0.4921
हमें यह जगह पसंद है ,	మాకు ఈ పొ రుగు ఇష ట మే ,	0.4789
मा रि यो को दो ष नहीं दे ती .	నేను మా రి యో ను ని ంది ంచ ను .	0.5438
दर द के सि वा और कुछ नहीं , बस .	బా ధ తపప ఏమీ లేదు , అదే విషయం .	0.6090
पर हम अब भी यहाँ हैं .	కానీ మనం ఇకకడ ే ఉననా ం .	0.4853
मि सट र बि ग स बि ंग ो	మి సట ర బి గ స బి ంగ ో	0.5267
यह अचछा ख या ल था .	అది మంచి ఆలో చ నే .	0.4430
आप मुझे मि सट र बि ग बु ला सकते हैं .	సరే , మీరు ననను మి సట ర బి గ అన వచచు .	0.6309
नहीं !	వదదు !	0.3902
कयोंकि हर कोई वि जे ता होने का ह क दार है .	ఎందుకంటే అంద రికీ వి జ ే త అ యయ ే అ ర హ త ఉంది .	0.5820
नहीं .	కాదు .	0.3291
बी - 1 4 .	బీ - 1 4 .	0.7589
जी - 4 6 .	జీ - 4 6 .	0.7589
जी - 5 1 .	జీ - 5 1 .	0.7589
मैं एक स वार थी , बे रह म कमी नी सा बि त हो ऊँ गी .	స వా ర ధ ప రు ర ాలి గా , హ ృ ద యం లే ని దాని లా అవు తా .	0.6705
तुमने इ तने इ नाम वाला कोई बि ंग ो खेल देखा है ?	అలా ంటి బహు మ తి ఇ చ చే బి ంగ ో ఆట ఎ పు డ ెనా చూశా వా ?	0.6203
ओ क स परि ंग स बद ल रहा है , तो शायद इन टे क कं प नि यों के लिए	సరే , ఓ క స పరి ంగ స మా రు తోంది , అందు కే ఆ టె క కం పె నీ ల రా కకు	0.7011
मेरे पास न इतना समय है , न ता कत	నాకు సమయం కానీ , శ కతి కానీ లే వు	0.5678
मा रि यो ?	మా రి యో ?	0.3542
मा रि यो !	మా రి యో !	0.3542
यह कया है ?	ఏమి టి ద ంతా ?	0.4063
खेल में सवा ग त है , स ज जन ो .	ఆట కు స వా గ తం , మ హా శ యు లా రా .	0.6488
उसके साथ जो हुआ , उसके बारे में सुन कर बु रा लगा .	అతనికి అలా జరిగి ందని తెలి శా క , చాలా బా ధ పడ డా ను .	0.5966
इसलिए कयोंकि बा की सब पहले ही जा चु के हैं .	అలా ఎందుకంటే దా దా పు అంద రూ వెళలి పో వడం వ లల .	0.5898
बी - 1 3 !	బీ - 1 3 !	0.7589
बि ंग ो !	బి ంగ ో !	0.3840
बि ंग ो	బి ంగ ో	0.3465
एक ला ख	ఒక ల కష	0.4476
पलीज तुम कुछ क होगी भी ?	దయచేసి ఏ మెనా చెబు తా వా ?	0.4668
तुम कहाँ जा रही हो ?	ఎకకడ కు వెళ ు తుననా వు ?	0.5010
सा री परे शा नि यों को पीछे छोड दो .	చె డు ను అంత టి నీ వె ను క వది లే సతా ం .	0.5938
मे ज कै ल	మె జ కాల	0.5043
कल ै र ें स !	క లా రె నస !	0.4657
कल ै र ें स !	క లా రె నస !	0.4657
मेरी मदद करो , फिर से बि ज ली च ली गई .	నాకు సా యం చె య , మ ళ లీ దీ ప ాలు పోయా యి .	0.5935
ड ो लो रे स !	డ ో ల ొ రె స !	0.5078
म ॉ रि स . . .	మో రి స . . .	0.6026
यो ला ं डा ?	య ొ లా ండా ?	0.4003
यो ला ं डा .	య ొ లా ండా .	0.4003
नहीं !	వదదు !	0.3902
मैंने ऐसा होने दिया .	నే నే ఇది జ రగ ని చచా ను .	0.4566
जब हमारे पड ो सि यों ने ओ क स परि ंग स को छोड ना शुरू किया ,	మన పొ రుగు వాళలు ఓ క స పరి ంగ స వది లి వెళల డం మొద లు పెటట ా క ,	0.6702
त ब मैंने उनहें का यर और ग द दार कहा था .	వాళ లను పి రికి వాళలు , మో స గా ళ లు అ ననా ను .	0.5859
नहीं !	లేదు !	0.3291
इस की बात मत सुनो !	అతని మాట వి న క ండి !	0.4613
जी - 5 9 !	జీ - 5 9 !	0.7589
बी - 1 1 !	బీ - 1 1 !	0.7789
धत !	ఛ త !	0.3918
यो ला ं डा !	య ొ లా ండా !	0.4003
मो ह तर मा , उ ठ िए .	బా మ మా , మే లు కో .	0.5049
मैं बता ता हूँ .	నీ అ ం తు చూ సతా .	0.5040
ल ु पी टा ?	లు పి టా ?	0.4726
कल ै र ें स !	క లా రె నస !	0.4657
पै सा .	డబబు .	0.3372
कल ै र ें स .	క లా రె నస .	0.4657
हम अभी म रे नहीं हैं , यार .	మే మి ం కా చని పో లేదు , ము స లీ .	0.5622
इतना सब कुछ होने के बाद मुझे यह बात समझ में आई . और अब . . .	ఇది చూడ డానికి అది నా ను ంచి అన నీ తీసుకు ంది . ఇంకా ఇపపుడు . . .	0.6225
तुमहारे ग ड ब ड कि ए बि ना भी मुझे म का न मा लि क से दि क कत ें हैं .	మా య జ మా ని తో ఇ పపటి కే సమ సయ లు ననా యి , నువవు దానని చె డ గొ టట కు .	0.6673
- बी - 7 . कि सम त वाला सा त . - बी - 7 . . . मेरे पास है ! बि ंग ो !	- బీ - 7 . అద ృ ష టం తె చ చే 7 . - బీ - 7 . . . నాకు వచచి ంది ! బి ంగ ో !	0.7881
जब से यहाँ आई हो , तुमने मुझे फ ू टी कौ डी भी नहीं दी है ,	నువ వి కకడ కు వచచి న పపటి ను ంచి ఓ పె సా కూడా నాకు ఇవ వ లేదు ,	0.6324
और तुमहें कुछ क पडे ख री द द ूँ , जि न के ट ै ग तुम का ट स को ?	ఇంకా మీరు ట యా గ ను తీ సి వే య గ లి గే బ టట లు మీకు కొ ని పె డి తే ?	0.6721
ठीक है , दो स तो , खेल खतम हो गया . आ ने के लिए शुकरिया .	సరే ఇక , అంద రూ , గే మ ము గి సింది . వచచి న ందుకు ధనయవాదాలు .	0.6686
और अगर सच क हूँ , तो इन सभी लोगों को श र म आ नी चाहिए !	నిజ ం చెపప ాల ంటే , ఈ జ నా ల ంతా త మ ప ట ల తా ము సి గ గు పడ ాలి !	0.6374
देखो , अपना बद ब ू दार मु ँ ह बंद रख ो और मेरी कॉ फी ला ओ .	చూడు , ఆ నో రు మూ సు కు ని , వెళలి నాకు కా ఫీ తీసుకు రా .	0.6390
मेरा बे टा उसकी अचछी पर व रि श करता , पर वह और त . . .	నా కొ డు కు వాడి ని సరి గా పె ంచే వాడు , కానీ ఈ వి డ . . .	0.5825
मुझे मि ली पे शक श बता द ूँ , तो च ड ढ ी गी ली हो जाए गी .	నాకు వచచి న ఆ ఫ ర తెలి సతే నీ ప యా ంటు లో పో స కుంటా వు .	0.6579
वह बी वी से जयादा अपनी उस कार से पयार करता है .	వాడి పె ళ లా ం కంటే తన కా రు నే ఎకకువ గా పరే మి ంచా డు .	0.5660
अगर तुम सु ध र गए , तो अब भी यहाँ कयों रह ते हो ?	సరే , నువవు మె రు గె తే , ఇంకా ఇకకడ ఎందుకు ననా వు ?	0.6032
बस एक छो टा सा काम बा की है . यह ठीक हो जाए गी .	నేను చినన పని చే సతే చ ాలు , ఇది అయి పోయి న ట లే .	0.5291
और मि सट र बि ग स बि ंग ो की शान दार शु रु आ त में	మీ అంద రికీ స వా గ తం ప ల క డం నా కె ంతో సంతో ష ం ,	0.6700
के व ल मेरे लिए इ तनी मु सी ब त ें झ े ल ना . . .	కే వల ం నా కోసం ఎ నన ో సమ సయ లు ఎ దు ర కో వడం . . .	0.7101
हम आज रात वहाँ पहु ँच ेंगे और उस कमी ने का	మనం ఈ రాత రికి వెళలి ఈ పెదద చచ చు వె ధ వ కు	0.5981
मि सट र बि ग स बि ंग ो अपने स प ने सा कार की जिए	మి . బి గ స బి ంగ ో మీ కల లు సా కా రం చేసు కో ండి	0.6272
मुझे पता है यह तुम नहीं कह रही , दा दी .	ఇపపుడు , నువవు మాటలాడ వ ని తెలుసు , బా మ మా .	0.5719
- के लब ! चलो ! - तुमहारी माँ बु ला रही है .	- కే లె బ ! వెళ దాం పద ! - మీ అమమ పి లు సతోంది .	0.6690
हम यहाँ पर एक - दूस रे का ख या ल रख ते हैं .	మే మి కకడ ఒక రి న ొ క రం జా గర తత గా చూ సు కుంటా ం .	0.6484
शायद 5 0 साल बाद , आप की उ मर का होने पर .	బహు శా 5 0 ఏ ళ ల తర వాత నాకు మీ వయ స ొ చచా క .	0.6396
और हर सु बह तुम खुद को व ं चि त रख ते हो .	అయి నా పరతి ఉద యం దా నికి ద ూర ంగా ఉంటా వు .	0.5930
यह वही कार है जो मैंने पहले देख ी थी .	నేను ఇంత కు ముందు చూ సిన అదే కా రు ఇది .	0.5960
वह मेरे लिए च म क ता हुआ सि क का छोड गई .	నాకు ఓ మె రి సే పె సా వది లే సి వెళలి ంది .	0.5368
मैं सच को मान ने को तैयार ही नहीं थी	నిజ ం అ ంగ ీ కరి ంచడం లో మొ ండి గా ఉననా ను .	0.5217
खेल को ऐसे र च ना कि वे हमारे मो ह ता ज ब ने र हें . वे हमारे बि ना न जी पा एँ .	గే మ ఫి కస చేయ డం , అందు కే వాళ లకు మనం అవ సరం . మనం లే కుండా వాళలు బ త క లే రు .	0.6928
