Hindi	Telugu	Similarity_Score
धनयवाद .	మంచిది !	0.2860
- तो , हो मो एक - दूस रे से इस तरह बात करते हैं ? -	అంటే , హ ో మో స ఓ కరి తో ఒక రు ఇలా గే మాటలాడు కుంటా రా ?	0.6350
न वा ब हो मो है .	న వా బ ఒక హ ో మో .	0.5015
न वा ब हो मो है !	న వా బ ఒక హ ో మో !	0.5015
अंदर .	లో ప ల .	0.3167
हम ती नों के बी च , ठीक है .	మన ము గ గురి మ ధయ లో , సరేనా ?	0.6004
और हमा रा सर कार में ग ठ बं धन है , और हम . . .	ఈ గ వర న మె ంటు పె గె లి చి ఇంకా మే మి దద రం కలి సి	0.6117
नहीं , तुमने त बा ह नहीं की . मेरी जिंदगी बहुत अचछी है .	లేదు నువవు ఏమి చేయ లేదు . నా జీవి తం బ రం హ మా ండ ంగా ఉంది .	0.6002
वो सच नहीं है .	అది నిజ ం కాదు .	0.4557
अगर पह ली बार तुमहें सुना ई नहीं दिया तो .	ఒక వే ళ ముందు చెపపి ంది నువవు వి ను ండ కపో తే .	0.5692
सर , न वा ब ?	సర , న వా బ ?	0.6268
आ र जे ए स पी अ ध य कष बर जे श याद व की बे टी का दे हा ंत	ఆ ర , జె , ఎ స , పి లీ డ ర బర జ ే శ యా ద వ కు మార తె మ రణ ం	0.7297
क ंग न पता नहीं . इस में देख ें . . .	గా జు లా ? నాకు తె లీ దు . ఇకకడ చూడు .	0.5682
स वी कार करता हूँ .	అ ంగ ీ కరి సతుననాను .	0.4515
स वी कार करती हूँ .	అ ంగ ీ కరి సతుననాను .	0.4502
जिंदगी की म ती है , और मैं अपनी जिंदगी अपने प ति के साथ गु जार ना चाहती हूँ .	జీవి తం చాలా వి లు వెన ది నేను దానని నా భ ర త తో కలి సి ప ంచుకో వాల ను కుంటుననా ను .	0.6002
द फ तर 2	ఆ ఫీ స 2	0.5052
कया है ये सब ?	ఇ ద ంతా ఏ ంట స లు ?	0.4080
एक से क ंड , जान . एक से क ंड .	జ సట ఒకక సె క న . ఒకక సె కను .	0.5684
हम इसे ठीक नहीं कर सकते , आ दिल .	మనం దీ నని ఫి కస చే స కో లే ం , ఆ ది ల .	0.5696
बात सिर फ फै जा की नहीं है , यार . ये शादी ना काम या ब है !	ఇది ఫ ె జా ఒకక దాని గురి ంచే కాదు . మన పె ళళ ి ఇం క న డ వ దు .	0.6414
- हाँ , मैंने गल ती की , फिर भी . . . - मैंने ध ो खा दिया !	- అవును , నేను మో సం చే సా ను , అయి నా - నేను మో సం చే సా ను !	0.6315
गा ंड ू	వె ధ వా	0.3095
कुछ नहीं , आ ं टी . वो रो श नी ठीक कर रहा हूँ ना . एक मिन ट ल गे गा बस .	ఏం లేదా ంట ీ . ఆ లె ట సె ట ప చేసతుననా ను . ఒక ని ము ష ం పడు తుంది , అంతే .	0.7223
क बी र , मैं तुमहें बहुत पसंद करती हूँ . मुझे अभी बस ए ह सा स हुआ .	క బీ ర , నాకు నువ వ ంటే చాలా ఇష టం . అది నా కి పపు డి పపుడ ే తెలు సతోంది .	0.6464
मैंने आप सभी को आज यहाँ ये ए ला न करने के लिए बु ला या है	నేను మి మమ లని అంద రి నీ ఇకకడ కి పి లి చి ంది నేను జా న మే థ యూ ని	0.6098
पार टी ली डर का ब ंग ला है , सा ह ब . त ला श ी तो होगी ही .	ఇది పా ర టీ లీ డ ర బ ంగ ళ ా , సర . చె కి ంగ అవు తుంది కదా .	0.6311
- इसे बाद में कर सकते हैं ? ठीक है . - हाँ .	- మనం ఇది తర వాత చూ స కు ందా మా ? - ఆ , తపప కుండా .	0.6317
मैं पूछ रहा हूँ , वह बाहर कैसे गई ?	ని న నే అ డి గే ది , బయట కి ఎలా వెళళ ి ంది ?	0.5623
- नहीं पता ? - बिलकुल नहीं पता .	- అ ర ధ ం కా వ ట లేదా ? - కొ ంచ ె ం కూడా .	0.4618
पि छ ली बार जब उसका फोन आया था , तो उसकी जु बा न लड ख डा रही थी .	పోయి న సారి తను కాల చేసిన పు డు తను మ త తు లో ఉనన టటు అనిపి ంచి ంది .	0.6006
अब वि शा ल का भ वि ष य उ जज व ल है .	వి శ ాల భ విష యత తు ఉ జ వల ంగా ఉంది .	0.6469
तो , इस के लिए सं भा ल कर रख लो .	సో , దీ నని తన కోసం దా చి ఉ ంచు .	0.6179
कया तुम कुछ कह ना चाहती हो ?	నువ వే మెనా చెపప ద లు చు కుననా వా ?	0.5085
- न मस ते . - आ जा इ ए . आ जा इ ए .	- న మ సతే . - ర ండి . ప లీ జ ర ండి .	0.6901
- मुझे वो रात याद है . - पलीज , उस कहा नी को मत दो ह रा ओ .	- నా కా రాతరి గుర తుంది . - ప లీ జ , ప లీ జ ఆ విషయం ఇ పపుడ ొ దదు .	0.6824
किसी अ ज ञ ा त बी मा री के कार ण	ఒక తెలియ పర చని వ యా ధి కి గు రె	0.5560
यार , कुछ तो ब डा ब खे डा है .	డ ూ డ , ఏదో తే డా కొ డు తోంది .	0.5973
इन होंने ख न ना ए ं सि ल री ज को	అతను ఖ ననా ఏ న సి ల రీ స ని కొతత	0.6093
एक से क ंड ! एक से क ंड , एक से क ंड , तुमने कब ध ो खा दिया ?	ఒకక ని ము ష ం ! ఒకక ని ము ష ం . నువ వె పపుడు మో సం చే సా వు ?	0.6369
सो ओ , या ना सो ओ , तुम उ तनी ही ख ू बस ू रत लग ती हो .	నువవు ని ద రా పోయి నా , పో క పోయి నా అంద ంగా నే ఉంటా వు .	0.5654
- च लिए . ची यर स ! - ची यर स !	- ఇది గో . ఛ ీ ర స ! - ఛ ీ ర స !	0.6127
कुछ और पह न कर देख ले ती ?	ఇం కే ద ెనా ట రె చేసతా రా ?	0.5330
न ूत न : अं कल , इ ध र आ जा इ ए . मि से ज याद व : नहीं , मैं यहाँ आ जा ती हूँ .	- అ ం కు ల , ఇలా ర ండి . - లేదు . నే ని కకడ ని ల బ డ తాను . నువ వ టు వెళళ ు .	0.7361
- जी . - लेकिन पीछे वाले दर वा जे से बु ला ना .	- అలాగే . - కానీ వెన క గే టు ను ంచి . సరేనా ?	0.6331
बडी ही क सी हुई द ली ल थी आप की . बहुत बढिया .	మీరు చాలా గొ పప గా వా ది ంచా రు . బ రం హ మా ండ ం .	0.5671
ये मेरा है . कहाँ था ?	అది నా ది . ఎ కక డు ంది ?	0.5391
- मुझसे झ ू ठ मत बो लो , आ दिल . - एक से क ंड .	- నాకు అబ దధ ం చెపప కు , ఆ ది ల . - ఒకక ని ము ష ం .	0.7266
तुमहारा काम है . इतना अचछा चल रहा है .	నీ కె లా గ ూ కం పె నీ ఉంది . బాగా చేసతుననా వు .	0.4957
क बी र : बिलकुल . हाँ .	తపప కుండా . తపప కుండా .	0.4878
अ ना उ ं सर : और अब , दे वि यो और स ज जन ो , जो र दार ता लिया ँ हो जाएँ ,	ఇక ఇపపుడు , లే డీ స ఎ ండ జె ంటి ల మెన , గ టటి గా చ పప టలు కొ టట ండి	0.6775
इसे कहाँ रख ूँ ?	ఇ ద ె కకడ పెటట ను ?	0.4441
व रु ण , याद है जब हमने पह ली बार ता रा के बारे में सुना था ?	వ రు ణ , నీకు గుర తు ందా మనం మొద టి సారి తా ర గురించి వి న డం ?	0.6661
मुझसे शादी कर लो .	ననను పె ళళ ి చేసు కో .	0.4956
और उसकी गु ड िया पर !	ఇంకా తన బ ొ మమ మీద .	0.5245
देखो , ये जि ं दा है .	చూడు , బ తి కే ఉంది .	0.5816
हे लो ! जै ज , है ना ?	హాయ ! జా జ , అవు నా ?	0.6123
और बु आ जी कहाँ है ?	మీ అత త ఎ కక డు ంది ?	0.5776
भा र ती य सं सक ृ ति का उ ल ल ं घ न है ये .	భా ర తీ య సం స క రు తి ని అవ మా ని సతుననా రు .	0.6706
- आपको थो डी वा इन द ूँ ? - बि ंद ु : आप थो डी वा इन ल ें गी ?	- నీకు ఇం కొ ంచ ె ం వెన పొ యయ నా ? - నీకు వెన తె చచి యయ నా ?	0.6281
अरे , चल , चल . अब तो दु ल ह न की बा री है . अब तुम जाओ .	వెళళ ి ంక . ఇ పు డు పె ళళ ి కూ తు రు వం తు . నువవు వెళళ ు .	0.6537
उन से प ं गा कौन ले गा ? तुमहें बर बाद कर के रख द ेंगे .	వాళల తో తల పడ ే ది ఎవరు ? నా మ రూ ప ాల ే కుండా చేసతా రు .	0.6691
आ ं टी , बैठ ने के प ला न में काफी उ ल झ न चल रही है .	ఆ ంట ీ కు రచ ీ లు ఎకకడ వె యయ ాలో అంతా గ ంద రగ ో ళ ంగా ఉంది .	0.6485
- बहुत - बहुत खुश ी हुई ये जान के . - वि शा ल .	- చాలా ఆ న ంద ంగా ఉంది నీ గురించి . - బా బ ూ .	0.6223
- बहुत अचछ े . अ द भ ु त . - शुकरिया .	- వె ల డ న . అ మే జి ంగ . - థా ంక యు .	0.6867
तुमसे पयार करता हूँ इसलिए तुमसे शादी की ! तुमहें यहाँ ला कर मैं बहुत खुश हूँ .	నినను పరే మి ంచా ను , పె ళ లి చేసు కుననాను ! నువ వి కకడ ఉనన ందుకు సంతో షి సతుననాను .	0.5867
अगर हमारे बी च कुछ नहीं हुआ होता तो शायद . . .	అదే మన మ ధయ ఏం జరిగి ఉండ కపో తే , అ పు డు బహు శా	0.6295
और त : क माल की पार टी है . कया क माल का ज शन है .	- ఇది చాలా అద భ ు త మెన పా ర టీ . - ఏం సె ల బ రే షన .	0.6508
ता रा : बहुत ख ू बस ू रत है , माँ .	ఇది చాలా బా వు ంది , అత త య యా .	0.5926
- कि तने पया रे हो . - अचछा ?	- నువవు చాలా స వీ ట . - అవు నా ?	0.6259
जा ह िर है , फ ूल ों की स जा व ट यहाँ पर होगी .	మరి క , ప ూ ల డె క రే షన లు చేసతా ం ఇకకడ . ము ంద ర	0.6718
कुछ ह फ त ों के लिए भा रत में हूँ . ड रि ं क पी ने चलो गे ? या फिर कॉ फी ?	నేను ఇ ండి య ాలో రెండు వా ర ాలు ంటా ను . కలి సి ఓ డ రి ంక తా గు దా మా ? లే క కా ఫీ ?	0.6832
मैं तुमहारी मदद कर ूँगा . बता ओ कया कर ूँ ? ?	నేను మీకు సా యం చే సతాను . ఎలా గో చెపప ండి ?	0.5626
आपको पसंद है ?	నేను న చచా నా ?	0.4971
अभी - अभी ग ृ ह म ंत री ने म ं जू री भे जी है , बिलकुल समझ नहीं आ रहा उन को कहाँ बि ठा एँ .	ఇ పపుడ ే హ ో ం మి ని సట రూ క న ఫ ర మ చే సా రు మా కే మో ఆ య నని ఎకకడ కూ రచ ో బె టట ాలో తె లీ దు .	0.7291
प तर कार : मै ड म , मै ड म , मै ड म .	మే డ మ , మే డ మ , మే డ మ , మే డ మ .	0.6292
पुलिस कुछ नहीं करे गी , वह एक मा म ू ली इं सान है . . .	పోలీ సు లు ఏం చె యయ రు , అతను ఎవర ో ఓ సా ధా రణ వయకతి	0.6592
बि ंद ु : शुकरिया . तुमहारे झ ुम के ब डे सु ंदर हैं .	థా ంక స . నువవు పె టటు కు నన ఇ య ర రి ంగ స చాలా బా వు ననా యి .	0.6076
अरे , बे टी हम खो नहीं दे रहे हैं . बे टी के बद ले में बे टा पा रहे हैं .	మే ం మా కూ తు ర నే ం పం పి ంచ ె యయ ట లేదు . పె గా , కొ డు కు ని తె చచు కుంటుననా ం .	0.6363
पता है , बहुत अचछा लगा कि तुम आ पा ई .	నువవు రా వడం చాలా బా వు ంది తెలుసా .	0.5111
अगर उससे पयार करता , तो उससे शादी की होती . मैंने तुमसे शादी की .	నేను త నని పరే మి ంచి ఉ ంటే , తన నే పె ళళ ి చే స కు నే వాడి ని . నినను చే స కుననాను .	0.5477
- हे लो , वि शा ल सर . - हे लो .	- హ లో , వి శ ాల , సర . - హ లో .	0.6331
वो कम रे में बंद हैं .	త నని గ ది లో లా క చే సా రు .	0.5335
तुमहें पता है . मुझे पता है . तुम उससे पयार करते हो .	అది నీకు తెలుసు . నాకు తెలుసు . నువవు త నని పరే మి సతుననా వు .	0.5635
बहुत अचछा बं दो बस त किया ना इन लोगों ने ?	చాలా మంచి ఎ రే ం జ మె ంట స చే సా రు కదా వీ ళళు ?	0.5927
रुको एक मिन ट . रो हि नी ? रो हि नी ?	ఆ గు , ఒకక ని ము ష ం . రో హి ణ ీ ! రో హి ణ ీ !	0.5174
और ई श वर का आ श ी र वाद माँ गो .	ఆ త ండ రి ఆ శ ీ స సు లు అ ర ధి ంచు .	0.6619
- तुमहारी बक वास स ह ती रह ती हूँ . - मैं नहीं . . .	- నే ని ంక భ రి ంచ లేను . - నేను చె యయ లేదా ? నేను చె యయ లేదా ?	0.5755
हाँ ? हम ती नों के बी च का राज है .	ఆ ? ఇది మన ము గ గురి మ ధయ లో సీ క రె ట .	0.6250
सा रे नाम लि खे हैं . . .	అన నీ రా సు కుననా ం , ఇంకా	0.5478
ये सं सक ृ ति है किस की ?	ఇది ఎవ రి సం స క రు తి ?	0.6003
जै ज , वो बै ट री पक डा दे , यार .	జా జ , కొ ంచ ె ం బ యా ట రీ ని లా ఇ సతా వా ?	0.6159
अभी भी म जे ले र हो हो , शायद .	వయ సు లో ఎ ం జా య చేసతుననా వ ను కుంటా .	0.5888
क बी र कह ता रह ता है , " जै ज बहुत ही म जे दार है . "	క బీ ర నాకు ఎపపుడూ చెబు తు ంటా డు , జా జ సర దా గా ఉ ంటు ందని	0.6333
लोग कह ते हैं मुझ में वो बात है कि देश का अ ग ला पर धा न म ंत री बन सक ूँ .	పర జ లు నా లో ఈ దే శా నికి తర వా తి పర ధా న మ ంత రి అ యయ ే సత తా ఉ ంద ంటుననా రు .	0.6866
तो , तुमने सत ता प कष को चु नौ ती दी है , हाँ ?	అంటే , నువవు రూ లి ంగ పా ర టీ నే ఢ ీ కొ ననా వా ?	0.6497
